# GREAT version 4.0.4	Species assembly: mm10	Association rule: Basal+extension: 5000 bp upstream, 1000 bp downstream, 1000000 bp max extension, curated regulatory domains included
chr11_17091736_17091792	Ppp3r1 (-67499), Cnrip1 (+39946)
chr6_30547856_30548128	Cpa4 (-20377), Cpa2 (+6410)
chr6_30606209_30606446	Cpa5 (-4682)
chr1_75341615_75341711	Dnpep (-24004), Des (-18666)
chr2_91621820_91621875	F2 (+14566), Ckap5 (+95086)
chr2_91963546_91963896	Dgkz (-13294), Creb3l1 (+60781)
chr2_92401129_92401551	Mapk8ip1 (-77)
chr8_95488805_95489055	Csnk2a2 (-150)
chr2_93014737_93015006	Prdm11 (+30699), Syt13 (+99774)
chr8_96231726_96231917	Got2 (-343275)
chr1_86434302_86434715	Ptma (-92217), Tex44 (+8180)
chr7_45052041_45052361	Prr12 (+680)
chr5_29569646_29569708	Ube3c (+435)
chr6_47877672_47877920	Zfp282 (+592)
chr8_109707403_109707466	Zfp821 (+1886), Atxn1l (+30304)
chr8_113845723_113846094	Adamts18 (+2706), Syce1l (+202696)
chr1_88702264_88702446	Arl4c (-134)
chr2_118746206_118746297	Inafm2 (+494)
chr5_34337042_34337347	Rnf4 (+906)
chr8_117284008_117284098	Plcg2 (-214238), Cmip (+26989)
chr6_51961062_51961322	Skap2 (+51357), Snx10 (+437291)
chr1_90028425_90028729	Asb18 (-14000), Iqca (+124824)
chr3_149149912_149149967	Adgrl2 (-195282)
chr8_119574976_119575289	Dnaaf1 (-102), Hsdl1 (+50)
chr7_67862601_67862800	Synm (-103008), Igf1r (-90126)
chr7_68739786_68739856	Arrdc4 (+9420), Fam169b (+465982)
chr6_53229354_53229727	Jazf1 (-160910), Creb5 (-57729)
chr6_54145787_54146017	Prr15 (-180981), Chn2 (+106329)
chr8_123041217_123041345	Ankrd11 (+739)
chr2_130840072_130840468	4930402H24Rik (-136)
chr5_72845699_72845793	Txk (-109144), Tec (+22698)
chr5_74593093_74593318	Fip1l1 (+57735), Lnx1 (+92581)
chr5_74633390_74633598	Lnx1 (+52293), Fip1l1 (+98023)
chr6_70992306_70992542	Foxi3 (+35818), Thnsl2 (+152015)
chr4_32615024_32615421	Casp8ap2 (-255)
chr2_153241336_153241615	Plagl2 (-3568), Pofut1 (-57)
chr1_133363404_133363668	Etnk2 (-36)
chr2_156839689_156840087	Tgif2 (-119)
chr2_157058530_157058846	Dsn1 (-51534), Soga1 (+20566)
chr2_157204229_157204377	Rbl1 (+209)
chr6_72957861_72957948	Tmsb10 (+397)
chr7_98060030_98060093	Myo7a (+59462), Gdpd4 (+140107)
chr6_83165774_83166017	Dctn1 (-13690), 1700003E16Rik (+9492)
chr4_45493225_45493503	Slc25a51 (-84598), Shb (+36966)
chr4_45499587_45499891	Slc25a51 (-90973), Shb (+30591)
chr2_164879772_164879856	Pcif1 (+449)
chr7_100932106_100932351	Arhgef17 (-122)
chr4_59388733_59388842	Susd1 (+49845), Ugcg (+199531)
chr2_165833560_165833810	Zmynd8 (+44752), Eya2 (+178387)
chr10_8807136_8807370	Ust (-288428), Sash1 (+78817)
chr5_111298727_111299171	Pitpnb (-31858), Ttc28 (+419146)
chr10_12868549_12869042	Utrn (-7061), Stx11 (+95466)
chr7_118932094_118932386	Knop1 (-75986), Gprc5b (+52404)
chr9_24593297_24593645	Dpy19l1 (-90331), Cypt4 (-31725)
chr9_29285173_29285489	Ntm (+677798)
chr7_121707331_121707668	Usp31 (-247)
chr9_40873832_40873986	Bsx (-218)
chr6_113714941_113715183	Ghrl (+4786), Tatdn2 (+17498)
chr10_37140848_37141177	Marcks (-2093)
chr9_44446249_44446561	Foxr1 (-5269), Upk2 (+8571)
chr6_114970124_114970278	Vgll4 (-48380), Tamm41 (+67675)
chr9_44721268_44721553	Phldb1 (+13787), Treh (+48178)
chr5_116700720_116701034	Srrm4 (-109060), Suds3 (+415236)
chr9_51875540_51875771	Fdx1 (+87890), Arhgap20 (+110304)
chr9_52047700_52048058	Rdx (-236)
chr10_58636923_58636991	Edar (+38697), Ccdc138 (+139009)
chr9_55467542_55467662	Etfa (+44641), Tmem266 (+140653)
chr10_61273378_61273714	Adamts14 (-108)
chr8_13200527_13200813	Grtp1 (-50)
chr8_25011945_25012147	Adam32 (-63242), Adam9 (+4881)
chr6_140623164_140623477	Aebp2 (-368)
chr10_80159656_80159839	Cirbp (-8030), Midn (+11476)
chr10_80160869_80160962	Cirbp (-6862), Midn (+12644)
chr10_80172809_80173177	1600002K03Rik (+49)
chr9_70543266_70543421	Sltm (+474)
chr10_80265466_80265596	Gamt (-4563), Dazap1 (+457)
chr6_144398289_144398377	Sox5 (-188853), Bcat1 (+650479)
chr8_33599377_33599668	Ppp2cb (-102)
chr10_82836161_82836336	Nfyb (-72105), Txnrd1 (-24052)
chr8_35948694_35949043	Prag1 (-145959), Cldn23 (-122310)
chr10_85386502_85386855	Btbd11 (-135)
chr8_36549311_36549459	6430573F11Rik (+91811), Dlc1 (+403057)
chr9_77544794_77545413	Lrrc1 (-234)
chr8_47411467_47411898	Stox2 (-122281), Trappc11 (+121784)
chr8_47714269_47714370	Cdkn2aip (-389)
chr10_111506347_111506557	Phlda1 (+166)
chr10_111559386_111559767	Krr1 (-413087), Phlda1 (+53291)
chr10_115123430_115123746	Trhde (-322224), Tph2 (+61434)
chr9_106453852_106453952	Pcbp4 (+60)
chr9_108264159_108264333	Dag1 (-288)
chr10_126978481_126978902	Ctdsp2 (-25)
chr11_20542614_20542910	Sertad2 (-572)
chr11_22990531_22991319	Cct4 (+406)
chr11_51855670_51856460	Jade2 (+1588), Sar1b (+92378)
chr11_52000172_52000831	Cdkl3 (-3788), Ube2b (-18)
chr11_53706526_53707053	Rad50 (+529)
chr11_55607682_55608102	Glra1 (-71)
chr11_60777417_60777585	Top3a (-136), Smcr8 (-24)
chr11_60913643_60913981	Natd1 (0)
chr11_69417534_69418198	Kdm6b (-4191)
chr11_74648884_74649594	Cluh (-276)
chr11_77093282_77093659	Nsrp1 (-15036), Efcab5 (+95497)
chr11_77093718_77093934	Nsrp1 (-15391), Efcab5 (+95142)
chr11_80476512_80476911	Cdk5r1 (-311)
chr11_93995565_93996104	Spag9 (-268)
chr11_95645640_95646246	Ngfr (-58208), Phb (-21014)
chr11_97400311_97400684	Arhgap23 (-49662), Socs7 (+37947)
chr11_97744627_97745370	Pip4k2b (-295)
chr11_98358265_98358665	Stard3 (+97)
chr11_98863549_98864138	Wipf2 (+206)
chr11_102040143_102040551	Cd300lg (-1162)
chr11_106612934_106613224	Tex2 (-149)
chr11_112795446_112795531	Sox9 (+13265), Slc39a11 (+770270)
chr11_112795666_112795936	Sox9 (+13577), Slc39a11 (+769958)
chr11_116335055_116335832	Foxj1 (-45)
chr11_120378522_120379023	Faap100 (-9)
chr11_120673054_120673373	Aspscr1 (+222)
chr12_12763607_12764030	Mycn (+178095), Fam49a (+501680)
chr12_17238794_17239123	Kcnf1 (-62071), Pdia6 (-27586)
chr12_52380099_52380322	Arhgap5 (-123805), Nubpl (+282474)
chr12_59011739_59012209	Gemin2 (-1419), Sec23a (+43)
chr12_69216227_69216642	Dnaaf2 (-18006), Pole2 (+11760)
chr12_71429586_71430246	Daam1 (-401247), Dact1 (+119932)
chr12_72325095_72325281	Ccdc175 (-140159), Rtn1 (+83866)
chr12_86726325_86726768	Angel1 (-87)
chr12_91589656_91590259	Gtf2a1 (+51)
chr12_107686336_107686658	3110018I06Rik (+197865), Bcl11b (+317105)
chr13_9329197_9329906	Dip2c (+53024), Zmynd11 (+434936)
chr13_12258162_12258290	Mtr (-131)
chr13_17694554_17695073	Mplkip (-599), Sugct (-75)
chr13_21161164_21161611	Trim27 (-18057), Olfr1368 (-15521)
chr13_24045175_24045608	Scgn (-54178), Carmil1 (+235403)
chr13_26030274_26030752	Nrsn1 (-760431), Hdgfl1 (+739652)
chr13_28958589_28958922	Sox4 (-5043), Cdkal1 (+896918)
chr13_29947331_29947659	Cdkal1 (-91821), E2f3 (+38568)
chr13_41220227_41220695	Elovl2 (-56)
chr13_54970821_54971166	Unc5a (+21583), Hk3 (+50391)
chr13_60601455_60601693	Dapk1 (-383)
chr13_94596152_94596263	Tbca (-192702), Ap3b1 (+237248)
chr13_94596318_94596759	Tbca (-192371), Ap3b1 (+237579)
chr13_107831026_107831426	Kif2a (-809112), Smim15 (-213263)
chr13_111490082_111490388	Gpbp1 (-124)
chr14_54426775_54427015	Mmp14 (-4717), Mrpl52 (-14)
chr13_112196815_112197199	Map3k1 (-388014), Ankrd55 (-91813)
chr14_55721720_55722023	Rabggta (+304)
chr14_57998655_57999077	Micu2 (+396)
chr14_61556664_61557123	Spryd7 (-8)
chr16_32930208_32930793	Lrch3 (+16359), Iqcg (+125689)
chr14_70099833_70100188	Bin3 (-134)
chr14_27227637_27228048	Arhgef3 (-10196), Il17rd (+188902)
chr16_36828210_36828563	Eaf2 (-126), Iqcb1 (-21)
chr16_42699027_42699729	Gap43 (-358727), Zbtb20 (-208274)
chr16_91610038_91610604	Tmem50b (-12521), Dnajc28 (+8678)
chr15_5116359_5116665	Rpl37 (-101)
chr17_4626163_4626589	Nox3 (-930115), Arid1b (-368698)
chr17_4778246_4778631	Arid1b (-216635)
chr17_21449987_21450218	Zfp51 (-249)
chr17_25920301_25920630	Rab40c (-814)
chr18_75697276_75698076	Ctif (+20)
chr15_70971517_70971675	Fam135b (+756242)
chr15_70971804_70972198	Fam135b (+755837)
chr18_80104938_80105057	Adnp2 (+46484), Pard6g (+58103)
chr17_29438226_29438930	Pim1 (-52234), Fgd2 (+77636)
chr15_76522098_76522621	Scrt1 (-231)
chr18_83543791_83543946	Tshz1 (+542535), Zfp516 (+632990)
chr17_35046801_35047202	Clic1 (-2964), Msh5 (-380)
chr15_76947692_76948587	1110038F14Rik (-399)
chr19_4756286_4756959	Rbm4b (+52)
chr17_41936220_41937204	Ptchd4 (-379235)
chr17_44777364_44777677	Supt3 (+369)
chr15_84829427_84829864	Phf21b (+26403), Arhgap8 (+109594)
chr17_47611241_47611596	Gm20517 (-194), Med20 (-163), Bysl (+73)
chr17_47629476_47629702	Usp49 (-1101)
chr19_10017840_10018389	Rab3il1 (-78)
chr19_10403061_10403485	Syt7 (+14183), Lrrc10b (+54174)
chr19_12795382_12795712	Lpxn (-3059), Zfp91 (+579)
chr1_153332898_153333120	Lamc1 (-223)
chr1_156303572_156303848	Tdrd5 (-46)
chr1_156474208_156474294	Soat1 (+80)
chr1_156474350_156474625	Soat1 (-157)
chr17_62882370_62883226	Efna5 (-1481)
chr17_64559221_64559681	Pja2 (-227535), Man2a1 (-41285)
chr2_167503077_167503556	Snai1 (-34878), Spata2 (-10430)
chr17_66436849_66437269	Mtcl1 (+12691), Ddx11 (+313539)
chr15_99094661_99095073	Dnajc22 (-4545)
chr17_74294865_74295281	Memo1 (-190)
chr19_28690039_28690899	Slc1a1 (-144605), Glis3 (-10392)
chr2_170690348_170690724	4930470P17Rik (-88519), Dok5 (-41271)
chr15_99294935_99295476	Prpf40b (-65)
chr19_32388432_32388975	Sgms1 (-39388), Rpl9-ps6 (+77871)
chr17_79744806_79745429	Cyp1b1 (-30077), Atl2 (+151005)
chr19_34091222_34091597	Lipm (-9533), Lipn (+24052)
chr15_102325995_102326718	Pfdn5 (+241)
chr19_34091669_34092166	Lipm (-9025), Lipn (+24560)
chr15_102406323_102406930	Sp1 (+247)
chr15_102470707_102471015	Pcbp2 (+229)
chr17_84049498_84049706	Haao (-202812), Zfp36l2 (+138345)
chr17_84049806_84050052	Haao (-203139), Zfp36l2 (+138018)
chr15_102692850_102693180	Atp5g2 (-21888), Calcoco1 (+29163)
chr1_180813533_180813968	H3f3a (-119)
chr4_83024946_83025482	Frem1 (-4112)
chr17_87446867_87447217	Calm2 (-107)
chr1_182250541_182251022	Vmn1r1 (-92463), Degs1 (+32022)
chr19_43674826_43675117	Slc25a28 (-91)
chr16_4593938_4594569	Glis2 (-459)
chr19_43675173_43675270	Slc25a28 (-341)
chr16_12770656_12770965	Ercc4 (-338873), Shisa9 (+786230)
chr19_47937359_47937880	Cfap58 (-92)
chr3_22076142_22076852	Tbl1xr1 (-155)
chr16_17530937_17531360	Thap7 (-13)
chr3_27711303_27711533	Fndc3b (-1020)
chr19_53105704_53106170	Xpnpep1 (-65723), Add3 (-34508)
chr19_53338670_53339230	Mxi1 (+28444), Gm10197 (+32816)
chr16_21204287_21204844	Ephb3 (-189)
chr19_53944403_53944996	Shoc2 (-176), Bbip1 (-73)
chr5_121078553_121078852	Rph3a (-69165), Ptpn11 (+112626)
chr2_17900270_17900631	Nebl (-169408), H2al2a (+96507)
chr2_18317820_18318203	Dnajc1 (+74818), Mllt10 (+262775)
chr16_28805800_28806041	Fgf12 (-360694), Mb21d2 (+123777)
chr1_7777145_7777680	Pcmtd1 (+688493)
chr1_7778274_7778549	Pcmtd1 (+689492)
chr2_27475804_27476174	Brd3 (-316)
chr5_134555090_134555961	Clip2 (-3092)
chr1_12644764_12644848	Sulf1 (-47471)
chr1_12875503_12876108	Slco5a1 (+115329), Sulf1 (+183529)
chr4_127077180_127077570	Zmym6 (-8)
chr3_52101924_52102442	Maml3 (+2893), Mgst2 (+441004)
chr4_129189420_129189839	Yars (-130), S100pbp (-88)
chr7_3644760_3645115	Cnot3 (-414)
chr18_39488685_39489142	Nr3c1 (+1760), Arhgap26 (+495769)
chr4_129500715_129501262	Marcksl1 (-12592), Fam229a (+9799)
chr5_138160674_138161481	Cops6 (+7)
chr2_33017717_33018508	Slc2a8 (-36031), Garnl3 (+69140)
chr4_129556413_129556639	Hdac1 (-13813), Lck (+1846)
chr7_4164414_4164943	Cdc42ep5 (+181)
chr2_34090516_34091046	Mvb12b (-202835), Pbx3 (+281263)
chr4_131115337_131115535	Matn1 (+171051), Ptpru (+722795)
chr2_34249606_34250031	Mvb12b (-361873), Pbx3 (+122225)
chr2_34253081_34253391	Mvb12b (-365290), Pbx3 (+118808)
chr1_36939610_36940204	Tmem131 (-85)
chr1_37299620_37299962	Inpp4a (-58128), Cnga3 (+81412)
chr7_4777084_4777529	Il11 (+834)
chr1_37429569_37430292	Unc50 (-239), Coa5 (+172)
chr18_46198875_46199129	Trim36 (+13605), Kcnn2 (+929997)
chr1_42714450_42714776	Mrps9 (-136620), Pou3f3 (+18845)
chr4_133671894_133672404	Pigv (+498)
chr5_143758059_143758512	Eif2ak1 (-59502), Usp42 (-26006)
chr18_56189424_56189991	Gramd3 (-242424)
chr5_146794736_146795186	Usp12 (+45)
chr8_61591540_61591691	Cbr4 (+103882), Palld (+311053)
chr8_66486149_66486943	Tma16 (-27)
chr4_136924412_136924926	C1qa (-25866), Epha8 (+32147)
chr8_70659530_70660052	Pgpep1 (-53)
chr18_60624072_60624701	Synpo (-51)
chr4_137142194_137142888	Wnt4 (-134948), Zbtb40 (-93846)
chr18_61952021_61952396	Sh3tc2 (-866)
chr7_19131680_19131934	Fbxo46 (+11948), Qpctl (+17484)
chr8_72492720_72493018	Slc35e1 (-255)
chr2_60402760_60402830	Ly75 (-19564), Pla2r1 (+150513)
chr4_140258980_140259639	Igsf21 (-12526), Arhgef10l (+389440)
chr3_96696191_96696428	Pias3 (-773)
chr9_110132393_110132663	Smarcc1 (+548)
chr3_97227108_97228061	Bcl9 (-221)
chr1_62599481_62599976	Nrp2 (-103973), Pard3b (+960905)
chr8_84947050_84947579	Rtbdn (+324)
chr18_68942801_68943265	Mc2r (-513782), 4930546C10Rik (+7108)
chr3_101963276_101964147	Nhlh2 (-46443), Slc22a15 (-39319)
chr8_86623566_86624245	Lonp2 (-137)
chr1_66816949_66817177	Kansl1l (+483)
chr3_102674289_102674605	Tspan2 (-60082), Ngf (+204519)
chr4_148229697_148230119	Disp3 (+58057), Fbxo2 (+69287)
chr8_89046143_89046594	Sall1 (-2207)
chr9_118705581_118706138	Ctdspl (-220593), Itga9 (+99170)
chr1_67038481_67039246	Lancl1 (+8)
chr8_89057066_89057393	Sall1 (-13068)
chr4_148711124_148711482	Casz1 (-93126), Gm572 (+67986)
chr7_28283244_28283613	Eid2b (+5690), Selenov (+7757)
chr4_149426614_149427005	Ube4b (-61)
chr2_71582260_71582367	Itga6 (-204626), Dlx2 (-35560)
chr2_72471715_72472314	Cdca7 (-4144)
chr4_151044689_151045117	Per3 (-238)
chr2_74752950_74753504	Hoxd1 (-9753), Gm28230 (+26499), Hoxd13 (+84917)
chr2_74825585_74826003	Mtx2 (-9), Hoxd13 (+157484)
chr7_34313345_34313914	4931406P16Rik (-79)
chr8_92356040_92356498	Irx5 (-1480)
chr9_124423062_124423767	2010315B03Rik (-110719), Ppp2r3d (+17482)
chr1_75124290_75125220	Nhej1 (-78116), Slc23a3 (+9135)
chr7_35554791_35555321	Tdrd12 (-17311), Nudt19 (+1248)
chr6_30957792_30958341	Tsga13 (-42494), Klf14 (+1011)
chr1_77233653_77234418	Epha4 (+281052)
chr4_156197471_156198219	Agrn (-357)
chr8_94601603_94602102	Rspry1 (-84), Fam192a (+144)
chr2_91649852_91650328	Zfp408 (-311), Arhgap1 (-28)
chr5_4104710_4104992	Cyp51 (-105)
chr2_91931646_91932210	Mdk (+369)
chr6_35177523_35177667	Nup205 (+165)
chr8_95434562_95434709	Cfap20 (+233)
chr8_95434765_95435188	Cfap20 (-108)
chr1_86303062_86303338	B3gnt7 (-34)
chr2_93899994_93900413	Accsl (-31047), Gm27027 (+96150)
chr7_44770111_44770422	Nup62 (-45821), Zfp473 (-21650)
chr1_87326798_87327071	Gigyf2 (-68)
chr7_65693328_65693538	Pcsk6 (-168596), Tm2d3 (+2264)
chr6_52012281_52012636	Skap2 (+90)
chr5_41764292_41764836	Nkx3-2 (-63)
chr8_120113888_120114256	6430548M08Rik (-80)
chr1_91494222_91494972	Traf3ip1 (-97)
chr5_48747417_48747896	5730480H06Rik (+375328), Kcnip4 (+777250)
chr1_93272483_93272858	Mterf4 (+33244), Sned1 (+36830)
chr5_66618639_66619109	Apbb2 (-203)
chr4_12907160_12907340	Triqk (+392)
chr2_135140579_135141022	Plcb4 (-601029), Plcb1 (+354642)
chr6_70862055_70862510	Eif2ak3 (+17768), Tex37 (+56644)
chr4_22488364_22488697	Pou3f2 (-165)
chr7_77005297_77005660	Agbl1 (+775592)
chr6_71632904_71633648	Kdm3a (-590)
chr2_147132574_147133057	Nkx2-4 (-47371), Nkx2-2 (+53588)
chr6_72439537_72439770	Mat2a (-96)
chr2_155011269_155011643	a (-2075)
chr4_37388867_37389221	NONE
chr7_90475895_90476388	Tmem126b (-141)
chr6_72763575_72764164	Tgoln1 (-146870), Tcf7l1 (+25082)
chr1_135069580_135070214	Lgr6 (+35379), Ube2t (+107332)
chr4_42999687_42999931	Vcp (+698)
chr4_43442810_43443268	Tesk1 (+1100), Cd72 (+11589)
chr6_73014253_73014838	Tmsb10 (-56244), Dnah6 (+207085)
chr4_43492890_43493597	Ccdc107 (-118)
chr4_43669221_43669780	Fam221b (-360), Tmem8b (+530)
chr2_158595023_158595424	Slc32a1 (-15543), Arhgap40 (+82428)
chr2_159149182_159149370	Dhx35 (+354469)
chr2_159149445_159150081	Dhx35 (+354956)
chr2_160730816_160731558	Plcg1 (-123)
chr2_161108784_161108888	Chd6 (+186)
chr6_86438399_86438957	C87436 (+304)
chr2_161109154_161109488	Chd6 (-299)
chr9_8004014_8005002	Yap1 (+88)
chr6_88841974_88842232	Abtb1 (-203)
chr5_109557122_109557656	Crlf2 (+1604), Vmn2r17 (+137376)
chr5_109558605_109559103	Crlf2 (+139)
chr9_20857133_20857472	A230050P20Rik (-11339), Rdh8 (+38800)
chr7_113192837_113193269	Arntl (-14504), Rassf10 (+239091)
chr5_113164473_113165078	Tmem211 (-62133), 2900026A02Rik (-26790)
chr5_113310549_113311026	Sgsm1 (-2)
chr9_31839980_31840383	Tmem45b (-375720), Barx2 (+73280)
chr5_113908621_113909219	Coro1c (-162)
chr9_43240080_43240185	Oaf (-222)
chr7_127345339_127345508	Zfp768 (-1)
chr7_127345569_127345809	Zfp768 (-266)
chr9_44084390_44085129	Mfrp (-16969), Usp2 (+17739)
chr10_41450027_41450572	Zbtb24 (-83)
chr9_44881651_44881738	Kmt2a (-399)
chr6_115773978_115774374	Cand2 (-362)
chr6_115774485_115774975	Cand2 (+192)
chr10_43666490_43667061	Cd24a (+87607), Qrsl1 (+234969)
chr6_117907584_117908341	Hnrnpf (+1114), Fxyd4 (+29372)
chr9_48984977_48985561	Usp28 (-196)
chr9_51103826_51104162	4833427G06Rik (-1916)
chr7_143829893_143830215	Gm498 (-36795), Dhcr7 (+6887)
chr6_120666132_120666480	Cecr2 (-115)
chr10_59221044_59222011	Sowahc (-425), Sept10 (+319)
chr6_122486147_122486564	Rimklb (+149)
chr6_125009041_125009372	Zfp384 (-76)
chr9_57076702_57077192	Sin3a (+548)
chr9_57262445_57262935	1700017B05Rik (-78)
chr6_127453718_127454112	Parp11 (+192)
chr8_18595358_18596122	Mcph1 (+609)
chr6_128437586_128438075	Fkbp4 (+846)
chr10_80159901_80160017	Cirbp (-7819), Midn (+11687)
chr10_81320381_81320519	Cactin (-653)
chr6_147042531_147042839	Mrps35 (-79)
chr9_73209856_73210420	Rsl24d1 (+96690), Unc13c (+758828)
chr8_46152225_46152890	Snx25 (-853)
chr10_95940432_95940666	Eea1 (-201)
chr10_108274847_108274930	Pawr (-57232), Ppp1r12a (+112489)
chr9_98423649_98424695	Rbp2 (-61943), Rbp1 (+1211)
chr9_98508434_98509148	Copb2 (-54940), Rbp2 (+22676)
chr9_101546256_101546311	9630041A04Rik (-392197), Ppp2r3a (-294489)
chr9_105272208_105272627	1700080E11Rik (-127326), Aste1 (-122974)
chr10_117985929_117986607	Mdm1 (-155591), Rap1b (-140233)

