# GREAT version 4.0.4	Species assembly: mm10	Association rule: Basal+extension: 5000 bp upstream, 1000 bp downstream, 1000000 bp max extension, curated regulatory domains included
chr11_19013189_19016384	Meis1 (+4182)
chr10_62208411_62208904	Tspan15 (+22593), Neurog3 (+75568)
chr10_66897289_66897748	Reep3 (+199426)
chr9_58509844_58510097	6030419C18Rik (+21368), Cd276 (+45466)
chr8_14072500_14072921	Tdrp (-97934), Erich1 (+17590)
chr8_18799979_18800482	Angpt2 (-58669), Agpat5 (-46046)
chr9_61434182_61434522	Tle3 (+60967), Rplp1 (+480190)
chr8_27174531_27174813	Rab11fip1 (-26)
chr6_142882599_142882712	Sult6b2 (-78190), St8sia1 (+81796)
chr10_82810461_82810727	Txnrd1 (-49707), Nfyb (-46450)
chr10_83137793_83138262	Chst11 (+152530), Slc41a2 (+199854)
chr10_86836738_86837177	Nt5dc3 (+57953), Stab2 (+171067)
chr10_88222638_88223044	Washc3 (+21748), Dram1 (+134234)
chr8_42348341_42348866	Frg1 (-931530), Triml1 (+792882)
chr10_88669963_88670315	Mybpc1 (-65114), Spic (+12884)
chr10_89445985_89446567	Gas2l3 (-2309)
chr9_81351704_81351948	Impg1 (-886345), Htr1b (+282002)
chr9_85394862_85395432	Fam46a (-68023), Ibtk (+354187)
chr10_103832193_103832620	Gm21293 (-311910), Slc6a15 (+464564)
chr9_86093138_86093386	Tpbg (+250882), Ube2cbp (+371688)
chr8_58313414_58314037	Galnt7 (-660695), BC030500 (-598029)
chr10_108062045_108062627	Otogl (-150202), Ppp1r12a (-100064)
chr9_92907282_92907533	Plod2 (+365144)
chr10_111699602_111700188	Krr1 (-272769), Phlda1 (+193609)
chr9_101546380_101547081	9630041A04Rik (-391750), Ppp2r3a (-294936)
chr9_103431722_103432187	Cdv3 (-66115), Bfsp2 (+48465)
chr9_105659784_105660268	Pik3r4 (+16996), Col6a6 (+168134)
chr9_107401894_107402098	Tmem115 (-131949), Cacna2d2 (+2384)
chr11_5416208_5417393	Kremen1 (-155243), Znrf3 (+28046)
chr11_34231349_34232201	Fam196b (-83047), Foxi1 (-23686)
chr11_35571910_35572639	Pank3 (-197209), Slit3 (+451051)
chr11_56011703_56012647	Glra1 (-404354), Nmur2 (+28835)
chr11_56871504_56872143	Nmur2 (-830814), Gria1 (-139986)
chr11_69919322_69920053	Eif5a (+1698), Gps2 (+5800)
chr11_71512420_71513094	Nlrp1b (-311301), Wscd1 (-238619)
chr11_73188351_73189093	Ctns (+10320), Tax1bp3 (+11639)
chr11_75704155_75705086	Ywhae (-28248), Crk (+25362)
chr11_76665836_76666663	Abr (-156831), Bhlha9 (-6220)
chr11_81816407_81817036	Asic2 (-663401), 5530401A14Rik (-43957)
chr11_84707648_84708335	Lhx1 (-182457), Mrm1 (+111523)
chr11_86412452_86413329	Rnft1 (-71766), Med13 (-55289)
chr11_94311189_94311890	Wfikkn2 (-68833), Luc7l3 (+10448)
chr11_95210790_95211021	Dlx4 (-64643), Tac4 (-50623)
chr11_101797766_101798393	Etv4 (-12709), Meox1 (+96294)
chr11_103697567_103698192	Gosr2 (+18)
chr11_104105684_104106257	Crhr1 (-26884), Arf2 (+139100)
chr11_113041971_113042973	Sox9 (+260248), Slc39a11 (+523287)
chr11_113107800_113108320	Sox9 (+325836), Slc39a11 (+457699)
chr11_113613699_113614629	Slc39a11 (-48405), Sstr2 (-5178)
chr11_115781973_115783216	Tmem94 (+17162), Caskin2 (+31035)
chr11_116260170_116261023	Evpl (-22520), Srp68 (+13620)
chr11_116403669_116404708	Foxj1 (-68790), Rnf157 (+8815)
chr12_46634834_46636423	Nova1 (+183300)
chr12_71976549_71977428	Gpr135 (+94136), Daam1 (+145826)
chr12_72820736_72821576	Ppm1a (+59945), 4930447C04Rik (+96750)
chr12_73859357_73860559	Hif1a (-47946), Prkch (+275161)
chr12_79755522_79756066	Zfp36l1 (+357219), Rad51b (+458443)
chr12_86891023_86891954	Cipc (-55854), Irf2bpl (-6691)
chr12_99490568_99491362	Foxn3 (-97168), Efcab11 (+392477)
chr12_107808032_107808106	Bcl11b (+195533), 3110018I06Rik (+319437)
chr12_112253453_112253927	Kif26a (+107482), Tmem179 (+257482)
chr12_112885063_112885829	Gpr132 (-24494), Jag2 (+44330)
chr13_12384737_12385087	Actn2 (-44152), Heatr1 (-10459)
chr13_28718434_28719229	Sox4 (+234881), Prl5a1 (+576348)
chr13_29746371_29747240	Sox4 (-793093), Cdkal1 (+108868)
chr13_39104732_39105302	Slc35b3 (-144142)
chr13_41364309_41364393	Smim13 (+114507), Nedd9 (+122942)
chr13_52342865_52343599	Diras2 (+188047), Gadd45g (+496554)
chr13_53195912_53196807	Nfil3 (-215287), Ror2 (+89764)
chr13_53230420_53231396	Nfil3 (-249835), Ror2 (+55216)
chr13_63693633_63694086	Ptch1 (-128125), Ercc6l2 (-121443)
chr13_70347759_70348489	Ice1 (+289510), Med10 (+538283)
chr13_72710867_72711903	Irx4 (-549112), Irx2 (+82565)
chr14_28465862_28466584	Wnt5a (-38527), Erc2 (+843781)
chr14_28484119_28484533	Wnt5a (-20424), Erc2 (+861884)
chr14_29202911_29203439	Lrtm1 (+184967), Cacna2d3 (+518689)
chr13_97305438_97305527	Enc1 (+64378), Gm10260 (+455149)
chr14_40788517_40788776	Sh2d4b (+104619)
chr13_98912531_98913632	Fcho2 (-97633), Tnpo1 (+13302)
chr13_101902100_101902582	Cd180 (-791217), Pik3r1 (-134124)
chr13_102141839_102143048	Cd180 (-551114), Pik3r1 (-374227)
chr14_46661413_46662386	Bmp4 (-271231), Cdkn3 (-98641)
chr14_48118929_48119614	Peli2 (-1597)
chr14_57386712_57387782	Gjb6 (-253636), Cryl1 (+11282)
chr14_14064623_14065070	Atxn7 (+52356), Psmd6 (+56137)
chr14_60984801_60985211	Tnfrsf19 (+61463), Mipep (+200433)
chr14_22589626_22589945	Lrmda (+570074)
chr14_70352034_70353522	Slc39a14 (-1353)
chr16_37962282_37962696	Gsk3b (-127799), Gpr156 (+45993)
chr16_44564330_44564989	Nepro (-159641), Boc (-5763)
chr16_77005248_77006084	Nrip1 (-631839), Usp25 (-8403)
chr14_103467669_103468299	Mycbp2 (-121184), Scel (-45357)
chr14_105416855_105417673	Gm10076 (-264564), Ndfip2 (+158691)
chr14_118021292_118022519	Dct (+30340)
chr14_118861008_118862016	Cldn10 (+6780), Dzip1 (+61655)
chr14_119952856_119953552	Oxgr1 (+89231), Hs6st3 (+814789)
chr14_122942690_122943526	Ggact (-29946), Tmtc4 (+40175)
chr15_4100872_4101377	Plcxd3 (-274379), Oxct1 (+74742)
chr17_15259149_15259970	Dll1 (+116416), Ermard (+217919)
chr15_43388502_43389118	Eif3e (-106074), Rspo2 (-217007)
chr15_62465242_62466106	Myc (+480283)
chr18_77871630_77872427	Epg5 (-66438), Pstpip2 (+77484)
chr17_28247192_28248228	Fance (-65934), Ppard (+14956)
chr17_29965755_29966293	Mdga1 (-78142), Zfand3 (-39063)
chr17_31705221_31705999	Cryaa (+27677), Sik1 (+150182)
chr17_35076056_35076989	Ly6g6d (-2023), Ly6g6e (-414)
chr15_83639807_83641200	Ttll12 (-45347), Scube1 (+84517)
chr17_46607336_46608758	Srf (-51885), Ptk7 (+21457)
chr19_9079246_9080120	Scgb1a1 (+8275), Ahnak (+90399)
chr15_93630906_93631656	Prickle1 (-111758), Adamts20 (+772977)
chr17_56830834_56831299	Rfx2 (-59)
chr15_96640841_96641109	Slc38a1 (+987)
chr19_25221350_25222386	Kank1 (-15107), Dock8 (+222339)
chr17_73047817_73048526	Lclat1 (-59822), Lbh (+129867)
chr19_27116036_27116480	Vldlr (-101099), Gm815 (+230333)
chr1_167104944_167105025	Fam78b (+103568), Uck2 (+180335)
chr15_101770295_101771194	Krt74 (-7241), Krt72 (+15713)
chr17_81400421_81401049	Thumpd2 (-335650), Gm11096 (-41028)
chr2_172855552_172856470	Bmp7 (+84310), Tfap2c (+305020)
chr19_34101362_34102566	Lipm (+1021), Ankrd22 (+64089)
chr1_178748177_178748657	Kif26b (+219292), Smyd3 (+769617)
chr1_179445679_179446330	Smyd3 (+72029), Kif26b (+916880)
chr19_37767881_37768851	Cyp26a1 (+70558), Myof (+275211)
chr15_102998655_102999247	Hoxc6 (-10622), Hoxc8 (+8344)
chr2_174428666_174429601	Ctsz (+9905), Nelfcd (+13330)
chr17_85070442_85071129	Prepl (+19481), Slc3a1 (+42439)
chr15_103005688_103006149	Hoxc6 (-3654)
chr19_42280099_42280857	Golga7b (+32904), Crtac1 (+151305)
chr17_90638781_90639559	Gm10184 (-728721), Gm10308 (-449323)
chr4_95068365_95068947	Fggy (-488851), Jun (-16434)
chr1_182679523_182679847	Ccdc185 (+69495), Capn8 (+114673)
chr17_91013182_91013717	Gm10308 (-75043)
chr4_95744464_95744916	Hook1 (-222550), Fggy (+187183)
chr18_3508294_3509423	Bambi (+902)
chr1_183798527_183799026	1700056E22Rik (+235221), Hhipl2 (+380315)
chr16_10307163_10307841	Emp2 (+6466), Atf7ip2 (+114790)
chr19_45920387_45920757	Kcnip2 (-104511), 9130011E15Rik (+77916)
chr19_47500254_47501036	Sh3pxd2a (-36234), Stn1 (+36474)
chr1_194637565_194638345	Cd34 (-300864), Plxna2 (+18130)
chr16_18248481_18248536	Trmt2a (-374), Ranbp1 (+223)
chr4_111451083_111451992	Spata6 (-268446), Bend5 (+36532)
chr4_114937144_114937870	Foxe3 (-11494), Cmpk1 (+49734)
chr2_6074845_6075635	Proser2 (+54971), Upf2 (+123771)
chr2_9577200_9578234	Gata3 (+300883)
chr5_122811923_122812440	Camkk2 (-32800), Anapc5 (+9157)
chr16_21284771_21285980	Vps8 (-137825), Ephb3 (+80621)
chr18_24361489_24362376	2700062C07Rik (-108928), Galnt1 (+156166)
chr2_12144741_12145685	Itga8 (+156709), Ankrd16 (+366722)
chr16_25058618_25059300	Tprg (-227858), Lpp (+665609)
chr19_57119757_57120427	Afap1l2 (-111882), Ablim1 (+95940)
chr3_37935470_37935613	Gm5148 (-211213), Ankrd50 (+549302)
chr19_59865807_59866924	Rab11fip2 (+76998), Emx2 (+407994)
chr18_35402908_35403814	Lrrtm2 (-188337), Sil1 (+95564)
chr5_134378866_134379022	Gtf2i (-64184), Gtf2ird1 (+77748)
chr4_125318813_125319739	Zc3h12a (-191436), Grik3 (-171424)
chr2_27971796_27972692	Col5a1 (+85819), Fcnb (+112641)
chr3_50442906_50443889	Slc7a11 (+213)
chr16_29688534_29689833	Hes1 (-376156), Opa1 (+109804)
chr3_50844963_50845507	Slc7a11 (-401624), Noct (-379212)
chr4_127364607_127366057	Gjb5 (-7151), CK137956 (+605619)
chr5_135484499_135485548	Pom121 (-90478), Hip1 (+60091)
chr3_52006494_52007506	Maml3 (+98076), Mgst2 (+345821)
chr16_31561624_31561861	Dlg1 (-102296), Bdh1 (+132995)
chr1_14718593_14718976	Eya1 (-408585), Msc (+37205)
chr5_135790394_135791062	Srrm3 (-27378), Mdh2 (+12248)
chr4_129130337_129131043	Hpca (-8654), Fndc5 (-6309)
chr5_136392684_136393673	Sh2b2 (-148276), Cux1 (+174067)
chr3_52138059_52139343	Foxo1 (-129635), Maml3 (-33625)
chr2_32952005_32952373	Rpl12 (-9370), Fam129b (+76075)
chr5_138195378_138196719	Nxpe5 (-33773), Mblac1 (+1735)
chr2_33604536_33605435	Zbtb43 (-142633), Lmx1b (+35525)
chr4_129742282_129742347	Khdrbs1 (-19)
chr3_59200439_59201050	Gpr87 (-5641), P2ry13 (+10137)
chr5_140061280_140062710	Elfn1 (+154052), Mad1l1 (+259557)
chr5_140787878_140789290	Gna12 (+41847), Amz1 (+53058)
chr7_6163813_6165248	Zfp787 (-8560), Zfp444 (-7951)
chr4_133125106_133126249	Wasf2 (-4827)
chr5_140829621_140830199	Gna12 (+521)
chr2_38492476_38492857	Nek6 (-18976), Lhx2 (+141908)
chr18_54990418_54990856	Zfp608 (-457)
chr4_133813716_133814258	Arid1a (-60376), Rps6ka1 (+73810)
chr18_55763993_55765075	Zfp608 (-774354), Gramd3 (-667598)
chr2_50004827_50005779	Lypd6 (-61161), Lypd6b (+217615)
chr18_56678579_56679151	Lmnb1 (-28948), Tex43 (+90515)
chr2_50368726_50369296	Mmadhc (-72294), Rnd3 (+780100)
chr3_88207795_88208566	Rhbg (+46528), Mef2d (+65609)
chr1_55887568_55887752	Plcl1 (+481739), Hsfy2 (+749775)
chr2_59403588_59404694	Dapl1 (-80512), Pkp4 (+243291)
chr4_137734590_137735973	Rap1gap (+54529), Alpl (+61102)
chr18_65559481_65560577	Zfp532 (-20201), Malt1 (+129066)
chr8_78232689_78233211	Ttc29 (+19608), Pou4f2 (+203695)
chr2_60444337_60444592	Ly75 (-61234), Pla2r1 (+108843)
chr7_19355987_19356721	Ppp1r13l (-4862), Cd3eap (+3127)
chr5_149142674_149143895	Hmgb1 (-90245), Uspl1 (-41378)
chr4_140420762_140421557	Igsf21 (-174376), Arhgef10l (+227590)
chr4_141124988_141126169	Szrd1 (+14187), Spata21 (+37246)
chr5_150261894_150262837	Fry (+2599), Zar1l (+255798)
chr1_61387335_61387996	Pard3b (-251158), Icos (+409739)
chr3_97751907_97753154	Prkab2 (+94319), Pde4dip (+136176)
chr2_71511943_71512800	Dlx1 (-15741), Metap1d (+59096)
chr3_98056420_98057176	Adam30 (-103862), Notch2 (+43260)
chr1_64087384_64088530	4933402D24Rik (-318690), Klf7 (+33534)
chr18_69170651_69171317	4930546C10Rik (-220843), Tcf4 (-173505)
chr7_28069537_28070173	Fcgbp (-1381)
chr9_120246701_120247726	Myrip (-56722), Mobp (+97507)
chr3_104997213_104998102	Wnt2b (-35737), Cttnbp2nl (+55488)
chr7_28597209_28598347	Pak4 (+407)
chr8_91561217_91562042	Irx3 (+240285), Fto (+248105)
chr4_150871450_150872544	Errfi1 (+16924), Park7 (+37629)
chr7_29480825_29481695	Sipa1l3 (+24200), Dpf1 (+177284)
chr6_23291903_23293060	Fezf1 (-44120), Rnf133 (+357823)
chr2_73140006_73140730	Gm11084 (-153652), Ola1 (+74079)
chr4_151604340_151605356	Camta1 (+256898), Gm13090 (+515278)
chr3_117120167_117120924	Palmd (-151559), Plppr4 (+240330)
chr7_34764684_34765110	Kctd15 (-109388), Chst8 (+47789)
chr8_92910417_92910939	Slc6a2 (-50255), Capns2 (+9271)
chr1_77219706_77220495	Epha4 (+294987)
chr1_77370602_77371463	Epha4 (+144055)
chr6_33935658_33936332	Lrguk (-93453), Exoc4 (+686910)
chr8_94899151_94899545	Dok4 (-23018), Ccdc102a (+18750)
chr5_4685598_4686345	Fzd1 (+72063), Mterf1b (+493605)
chr8_95137226_95138279	Kifc3 (+4794), Katnb1 (+56567)
chr5_16081954_16082664	Hgf (-471241), Cacna2d1 (+147521)
chr6_39515436_39516465	Mkrn1 (-95489), Dennd2a (+41916)
chr7_45215568_45215982	Dkkl1 (-3652), Tead2 (-77)
chr8_106720555_106721334	Has3 (-149297), Tango6 (+37877)
chr8_106935430_106935854	Sntb2 (-108)
chr3_131597041_131597411	Dkk2 (-488066), Papss1 (+32458)
chr2_113440122_113441079	Fmn1 (+112819), Grem1 (+318045)
chr2_115402260_115402821	Dph6 (-747577), BC052040 (-179175)
chr1_88456160_88457023	Spp2 (+49631), Glrp1 (+53474)
chr7_56288802_56289640	Oca2 (+49461)
chr6_49194990_49195708	Igf2bp3 (+19608), Malsu1 (+121554)
chr5_32482016_32482709	Yes1 (-128821), Ppp1cb (+23520)
chr3_143984701_143985494	Lmo4 (+220122)
chr2_119997324_119998535	Jmjd7 (-29553), Mapkbp1 (+25231)
chr3_146723127_146723946	Samd13 (-37945), Prkacb (+57879)
chr5_37828258_37829124	Msx1 (-4108)
chr2_121044771_121045376	Epb42 (-8002), Tgm5 (+40767)
chr3_149256212_149256676	Adgrl2 (-301786)
chr8_120449635_120450542	Fam92b (-272623), Gse1 (-38358)
chr2_128125568_128125853	Bcl2l11 (-328)
chr6_53313767_53314810	Creb5 (+27019), Tril (+506541)
chr8_120755005_120755744	Foxf1 (-329011), Irf8 (+19017)
chr8_124189517_124189948	Galnt2 (-41658), Urb2 (+166339)
chr7_71746202_71746441	Gm10295 (-394837), Mctp2 (+560286)
chr2_133716790_133717304	Bmp2 (+164888), Hao1 (+837321)
chr8_124946584_124947555	Egln1 (+2254), Sprtn (+49184)
chr5_74645293_74645686	Lnx1 (+40297), Fip1l1 (+110019)
chr6_66009234_66010113	Mad2l1 (-525716), 4930544G11Rik (+57065)
chr7_75435404_75436403	Sv2b (-126642), Akap13 (-19630)
chr1_118890995_118891950	Gli2 (+162146), Tfcp2l1 (+263527)
chr5_77265017_77266000	Rest (+18)
chr2_141289008_141289842	Flrt3 (-617956)
chr6_71156292_71157263	Fabp1 (-43049), Thnsl2 (-12339)
chr7_79577279_79577655	Polg (-111105), Rhcg (+40190)
chr1_120621815_120622258	En1 (+19619), Insig2 (+705987)
chr2_144101148_144101860	Mgme1 (-169396), Banf2 (+68445)
chr5_79498863_79499959	NONE
chr7_83921612_83922070	Mesd (+29841), Cemip (+164661)
chr4_41107658_41108957	Aqp3 (-10125), Nol6 (+16147)
chr5_91603255_91603947	Parm1 (+85986), Rchy1 (+359467)
chr1_133407840_133408514	Sox13 (+16200), Etnk2 (+44605)
chr1_133695244_133696778	Lax1 (-5903), Atp2b4 (+105030)
chr1_134836872_134837427	Ppp1r12b (+118701), Syt2 (+127850)
chr7_92953533_92954670	Fam181b (-125763), Prcp (+78850)
chr7_96672335_96672981	Nars2 (-278847), Tenm4 (+460987)
chr6_77000023_77000755	Gm9008 (-502605), Lrrtm1 (-242308)
chr5_98690251_98691139	Bmp3 (-163756), Gm11111 (+138000)
chr2_158401703_158401910	Ralgapb (-8144), Snhg11 (+26169)
chr5_99401860_99402716	Gm35911 (-504028), Rasgef1b (-149361)
chr7_99534063_99534700	Arrb1 (-1084)
chr7_100677008_100678596	Fam168a (-28900), Plekhb1 (-15388)
chr5_103411695_103412824	Mapk10 (-200926), Ptpn13 (-13241)
chr2_164384026_164384340	Slpi (-27676), Rbpjl (-19011)
chr4_57297387_57297681	Epb41l4b (-154097), Ptpn3 (+4303)
chr10_3740196_3740561	Plekhg1 (+15)
chr9_14568603_14569130	Amotl1 (+46139), Cwc15 (+68250)
chr5_106560521_106560989	Barhl2 (-102589), Zfp644 (+136075)
chr4_62640446_62641350	Zfp618 (-324676), Rgs3 (+21378)
chr2_166251223_166252031	Sulf2 (-95964), Prex1 (+462205)
chr10_3839741_3840471	Mthfd1l (-133025), Plekhg1 (+99742)
chr7_109583879_109584512	St5 (+32557), Rpl27a (+65049)
chr6_94453220_94453916	Magi1 (-170246), Slc25a26 (-46763)
chr10_9557370_9558187	Sash1 (-671709), Samd5 (+117429)
chr9_21950247_21950756	Swsap1 (-5253), Plppr2 (+13469)
chr6_100823129_100824075	Ppp4r2 (-10020), Gxylt2 (+118868)
chr5_112396253_112396618	Asphd2 (-4223)
chr10_20474705_20475443	Pde7b (+73254), Mtfr2 (+127304)
chr9_31849108_31849941	Tmem45b (-385063), Barx2 (+63937)
chr10_24736879_24737639	Enpp1 (-25268), Enpp3 (+98966)
chr5_113937543_113938038	Coro1c (-29033), Ssh1 (+56103)
chr10_28211529_28212466	Themis (-456362), Ptprk (+137178)
chr5_114537175_114538012	Fam222a (-30422), Mvk (+93308)
chr7_127026197_127026390	Maz (+158)
chr5_115007209_115008149	Sppl3 (-3458)
chr9_43303821_43304690	Oaf (-64345), Trim29 (-6592)
chr9_43863773_43864563	Thy1 (-179216), Nectin1 (+120184)
chr7_127967077_127967571	Fus (-133)
chr7_130256612_130257834	Fgfr2 (+8968), Wdr11 (+665360)
chr6_114996247_114997497	Vgll4 (-75051), Tamm41 (+41004)
chr7_130381334_130382363	Fgfr2 (-115658), Ate1 (+137731)
chr9_46152201_46152964	Apoa1 (-75997), Sik3 (+139763)
chr5_118206469_118207301	Hrk (+37137), Rnft2 (+37976)
chr7_136790906_136791902	Mgmt (-103210)
chr9_50832148_50832691	Ppp2r1b (-24504), Alg9 (+57401)
chr10_45812818_45812972	Hace1 (+235066)
chr7_140901650_140902605	Cox8b (-1682)
chr6_119307751_119308426	Lrtm2 (+22677), Cacna2d4 (+71563)
chr6_121057129_121057812	Bid (-140618), Mical3 (+24138)
chr8_8109242_8110496	Efnb2 (+551373)
chr6_121069244_121070033	Bid (-152786), Mical3 (+11970)
chr10_60793427_60794990	Slc29a3 (-41427), Unc5b (+37372)
chr6_126183823_126184499	Ntf3 (-17446), Kcna5 (+351251)
chr9_57993254_57993410	Cyp11a1 (-21339), Sema7a (+53219)
chr10_69839130_69839838	Ccdc6 (-257637), Ank3 (+305712)
chr10_70871717_70872183	Phyhipl (-272659), Bicc1 (+287750)
chr9_61251453_61251509	Tle3 (-121904), Uaca (+456933)
chr9_61853766_61854234	Rplp1 (+60542), Tle3 (+480615)
chr8_22508411_22508520	Smim19 (-31611), Vdac3 (+85292)
chr9_62510235_62510953	Coro2b (+26450), Anp32a (+169265)
chr9_63668508_63669046	Aagab (+66117), Smad3 (+89217)
chr6_135269730_135269963	Gsg1 (-21882), Pbp2 (+40558)
chr8_26238733_26239507	Zfp703 (-738234), Thap1 (+80979)
chr9_66628355_66628977	Car12 (-85020), Usp3 (-35524)
chr8_26881216_26881761	Zfp703 (-95865), Thap1 (+723348)
chr9_67539160_67540454	Tpm1 (-490401), Tln2 (+19896)
chr8_26961045_26961726	Zfp703 (-15968), Thap1 (+803245)
chr8_26984026_26984945	Erlin2 (-39313), Zfp703 (+7132)
chr6_142975953_142976266	St8sia1 (-11658), C2cd5 (+123961)
chr9_70875375_70876083	Lipc (+59079), Adam10 (+196732)
chr6_147177734_147178684	Pthlh (+85958), Klhl42 (+86830)
chr8_33933045_33934006	Rbpms (-3721)
chr10_84287158_84287940	Nuak1 (+153048), 1500009L16Rik (+564684)
chr9_77427179_77427907	Mlip (-79673), Lrrc1 (+117327)
chr9_77537783_77538814	Mlip (-190429), Lrrc1 (+6571)
chr8_45621294_45622794	Pdlim3 (-263417), Sorbs2 (+114126)
chr9_84909474_84910323	Gm11114 (-402874), Bckdhb (+984754)
chr9_88065133_88065460	Tbx18 (-334037), Nt5e (-261900)
chr9_96865261_96866663	Zbtb38 (-113131), Pxylp1 (+23512)
chr9_101356515_101356986	9630041A04Rik (-581730), Ppp2r3a (-104956)
chr10_120544553_120545224	Hmga2 (-68420), Msrb3 (+354212)
chr10_122869466_122870388	Ppm1h (+191145), Mon2 (+206578)
chr11_24397049_24397530	Bcl11a (+319117)
chr11_24643551_24644023	Bcl11a (+565614)
chr11_30287951_30288604	Sptbn1 (-20109), 4930505A04Rik (+183530)
chr11_69399728_69400631	Cyb5d1 (-4847), Tmem88 (-1946)
chr11_76658988_76659845	Abr (-149998), Bhlha9 (-13053)
chr11_87422538_87423866	Gm11492 (-143451), Tex14 (+18137)
chr11_88311287_88312313	Ccdc182 (+17742), Msi2 (+406301)
chr11_88313728_88314111	Ccdc182 (+19862), Msi2 (+404181)
chr11_95514571_95514833	Nxph3 (-132)
chr11_96006056_96006254	Igf2bp1 (-215)
chr11_97365646_97366164	Arhgap23 (-84255), Socs7 (+3354)
chr11_99138735_99139664	Tns4 (-49894), Ccr7 (+15877)
chr11_101964638_101965429	Meox1 (-70660), Sost (+1981)
chr11_102604070_102604723	Fzd2 (+1)
chr11_103116273_103117096	Hexim1 (+454)
chr11_106720213_106721179	Milr1 (-30544), Pecam1 (-5302)
chr11_114239369_114239718	Rpl38 (-429065), Sdk2 (-173326)
chr11_116669669_116670452	1810032O08Rik (-1608)
chr11_117101564_117101830	Sec14l1 (-13475), Mgat5b (+182834)
chr11_117280038_117280512	Gm11733 (-204093), Sept9 (+80614)
chr11_121698332_121699362	Metrnl (-3564)
chr12_13042977_13043418	Mycn (-101284), Ddx1 (+206015)
chr12_16590033_16592004	Lpin1 (-1249)
chr12_16615421_16616385	Ntsr2 (-37581), Lpin1 (-26133)
chr12_17622617_17622973	Hpcal1 (-68061), Odc1 (+78001)
chr12_36247431_36248175	Sostdc1 (-66336), Lrrc72 (-29601)
chr12_71433679_71434262	Daam1 (-397192), Dact1 (+123987)
chr12_76532104_76532381	Plekhg3 (-1137)
chr12_79756256_79756684	Zfp36l1 (+356543), Rad51b (+459119)
chr12_79984083_79984373	Zfp36l1 (+128785), Rad51b (+686877)
chr12_80115199_80116054	Zfp36l1 (-2614)
chr12_100522666_100523349	Ttc7b (-2182)
chr12_104468806_104469132	Gsc (+4361), Serpina3n (+62240)
chr12_111039173_111039459	Rcor1 (-482)
chr12_112172080_112173081	Kif26a (+26373), Tmem179 (+338591)
chr12_112217176_112217348	Kif26a (+71054), Tmem179 (+293910)
chr13_24173336_24174346	Scgn (-182627), Carmil1 (+106954)
chr13_28719382_28719692	Sox4 (+234176), Prl5a1 (+577053)
chr13_40717109_40717513	Ofcc1 (-429300), Tfap2a (+16512)
chr13_44615897_44616135	Jarid2 (-115255), Cd83 (+831241)
chr13_49028834_49029307	Fam120a (-61054), Wnk2 (+118943)
chr13_49121310_49122035	Fam120a (-153656), Wnk2 (+26341)
chr13_53519628_53520377	Msx2 (-46929), Drd1 (+535655)
chr13_53520621_53521014	Msx2 (-47744), Drd1 (+534840)
chr13_63566316_63566849	Ptch1 (-848)
chr13_71270628_71271072	8030423J24Rik (+387902), Irx1 (+692873)
chr13_72219259_72219994	Irx2 (-409193), Irx1 (-255904)
chr13_89540217_89541144	Hapln1 (+885)
chr13_92644932_92645811	Serinc5 (+34281), Thbs4 (+149446)
chr13_97305582_97305989	Enc1 (+64681), Gm10260 (+454846)
chr13_97341287_97342394	Enc1 (+100736), Gm10260 (+418791)
chr14_60868288_60869234	Mipep (+84188), Tnfrsf19 (+177708)
chr14_60873005_60873687	Mipep (+88773), Tnfrsf19 (+173123)
chr14_21500775_21501005	Kat6b (+1105), Dupd1 (+213686)
chr16_33871598_33871715	Itgb5 (+41980), Umps (+95381)
chr14_78086033_78087200	Fam216b (+2390), Epsti1 (+182378)
chr14_100890490_100891084	Klf12 (-741023), Prr30 (+309543)
chr16_90741795_90743054	Mrap (+4101), Urb1 (+67967)
chr15_59066178_59067140	Mtss1 (+15367), Ndufb9 (+132849)
chr15_59413247_59413916	Trib1 (-234768), Nsmce2 (+39384)
chr17_25273797_25274040	Ube2i (-5)
chr15_59414039_59414285	Trib1 (-234188), Nsmce2 (+39964)
chr18_75410060_75411130	Smad7 (+43066), Ctif (+287101)
chr17_27422592_27422921	Lemd2 (-218319), Grm4 (+90584)
chr17_27555001_27555813	Hmga1 (-1213)
chr15_64387151_64387424	Asap1 (-4369)
chr17_28179489_28180457	Def6 (-27805), Zfp523 (+2555)
chr17_35836387_35836777	Mdc1 (-4933), Tubb5 (+1724)
chr17_43963202_43963455	Enpp5 (-115516), Rcan2 (+161478)
chr19_7421912_7423664	2700081O15Rik (+5163), Rtn3 (+60501)
chr17_46862698_46863119	Bicral (-31496), Tbcc (-27775)
chr15_85420391_85420764	7530416G11Rik (+82649), Atxn10 (+84197)
chr17_47749904_47750143	Tfeb (-35696), Pgc (+23182)
chr17_47952464_47952829	Foxp4 (-28212), 1700122O11Rik (+85646)
chr1_152808142_152808867	Ncf2 (+8311), Smg7 (+69663)
chr1_154020080_154020654	Zfp648 (-180820), Glul (+120423)
chr1_156780750_156780979	Fam20b (-61793), Angptl1 (-57697)
chr15_98775868_98776342	Arf3 (-12894), Wnt10b (+2045)
chr2_170533984_170534641	Pfdn4 (+23078), 4930470P17Rik (+67704)
chr2_170538308_170538530	Pfdn4 (+27184), 4930470P17Rik (+63598)
chr17_79739016_79739712	Cyp1b1 (-24323), Atl2 (+156759)
chr2_170708924_170709905	4930470P17Rik (-107398), Dok5 (-22392)
