# GREAT version 4.0.4	Species assembly: mm10	Association rule: Basal+extension: 5000 bp upstream, 1000 bp downstream, 1000000 bp max extension, curated regulatory domains included
chr1_3901785_3901879	Xkr4 (-230334), Rp1 (+458482)
chr13_77420045_77420460	Fam172a (-288437), 2210408I21Rik (+284713)
chr13_78582618_78582806	Nr2f1 (-382955)
chr13_81901004_81901059	Cetn3 (+117955)
chr13_84808870_84809003	Ccnh (-380471), Tmem161b (+586637)
chr13_89540549_89540775	Hapln1 (+866)
chr13_91223788_91223932	Atg10 (+108)
chr13_92644932_92645668	Serinc5 (+34209), Thbs4 (+149518)
chr13_92844604_92844831	Mtx3 (-69)
chr13_94307130_94307355	Ap3b1 (-51717), Scamp1 (-21414)
chr13_94596152_94596263	Tbca (-192702), Ap3b1 (+237248)
chr13_94596318_94596759	Tbca (-192371), Ap3b1 (+237579)
chr13_97305438_97305527	Enc1 (+64378), Gm10260 (+455149)
chr13_97305582_97305989	Enc1 (+64681), Gm10260 (+454846)
chr13_97341341_97341946	Enc1 (+100539), Gm10260 (+418988)
chr13_98062238_98062527	Gm10260 (-301751), Arhgef28 (+143784)
chr13_100607345_100607415	Ocln (-54882), Marveld2 (+9322)
chr13_101902100_101902582	Cd180 (-791217), Pik3r1 (-134124)
chr13_102142274_102142834	Cd180 (-551004), Pik3r1 (-374337)
chr13_104816871_104816934	Srek1ip1 (-274), Cwc27 (+50)
chr13_107096915_107097225	Smim15 (-947419), Kif2a (-74956)
chr13_107831026_107831426	Kif2a (-809112), Smim15 (-213263)
chr13_107955483_107955683	Kif2a (-933469), Smim15 (-88906)
chr13_107955754_107955858	Kif2a (-933692), Smim15 (-88683)
chr13_107970155_107970454	Kif2a (-948191), Smim15 (-74184)
chr13_110633244_110633535	Actbl2 (-621623), Plk2 (+238344)
chr13_111490082_111490388	Gpbp1 (-124)
chr13_112196815_112197199	Map3k1 (-388014), Ankrd55 (-91813)
chr13_117931475_117931764	Hcn1 (+329140), Mrps30 (+455632)
chr13_117931815_117931958	Hcn1 (+329407), Mrps30 (+455365)
chr14_14064838_14065070	Atxn7 (+52463), Psmd6 (+56030)
chr14_14702785_14703070	Slc4a7 (+649)
chr14_21500775_21501005	Kat6b (+1105), Dupd1 (+213686)
chr14_21892080_21892359	Comtd1 (-43243), Zfp503 (+97381)
chr14_21984220_21985662	Comtd1 (-135964), Zfp503 (+4660)
chr14_21985728_21986076	Comtd1 (-136925), Zfp503 (+3699)
chr14_21991067_21991915	Zfp503 (-1890)
chr14_21995188_21995826	Lrmda (-24205), Zfp503 (-5906)
chr14_22589626_22589945	Lrmda (+570074)
chr14_26669648_26669982	Pde12 (+68)
chr14_27227637_27228048	Arhgef3 (-10196), Il17rd (+188902)
chr14_28089821_28090257	Wnt5a (-414711), Erc2 (+467597)
chr14_28466082_28466435	Wnt5a (-38491), Erc2 (+843817)
chr14_28484119_28484533	Wnt5a (-20424), Erc2 (+861884)
chr14_28505440_28505976	Wnt5a (+958)
chr14_28506691_28506994	Lrtm1 (-511365), Wnt5a (+2093)
chr14_28511067_28511274	Lrtm1 (-507037), Wnt5a (+6421)
chr14_28972936_28973118	Lrtm1 (-45181), Wnt5a (+468277)
chr14_29202940_29203359	Lrtm1 (+184942), Cacna2d3 (+518714)
chr14_30255747_30255943	Dcp1a (-223767), Chdh (+246822)
chr14_40788517_40788776	Sh2d4b (+104619)
chr14_45589801_45589958	Fermt2 (-59762), Ddhd1 (+68218)
chr14_46101851_46101983	Ddhd1 (-443819), Gm15217 (-277550)
chr14_46661778_46662386	Bmp4 (-271413), Cdkn3 (-98459)
chr14_47298115_47298393	Mapk1ip1l (-10311), Socs4 (+21323)
chr14_52014278_52014504	Tmem253 (-2474)
chr14_54426775_54427015	Mmp14 (-4717), Mrpl52 (-14)
chr14_54575582_54576061	Haus4 (-21461), Ajuba (+1839)
chr14_55721720_55722023	Rabggta (+304)
chr14_57387480_57387782	Gjb6 (-254020), Cryl1 (+10898)
chr14_57998655_57999077	Micu2 (+396)
chr14_60868718_60869019	Mipep (+84296), Tnfrsf19 (+177600)
chr14_60984801_60985211	Tnfrsf19 (+61463), Mipep (+200433)
chr14_61556664_61557123	Spryd7 (-8)
chr14_62761509_62761580	Ints6 (-433)
chr14_63713139_63713401	Pinx1 (-147094), Xkr6 (+106767)
chr14_63940905_63941146	Sox7 (-2647)
chr14_64568519_64569016	Msra (-112865), Kif13b (-83763)
chr14_64880746_64880999	Hmbox1 (+68998), Kif13b (+228342)
chr14_70099833_70100188	Bin3 (-134)
chr14_70352699_70353059	Slc39a14 (-1454)
chr14_72857016_72857086	Fndc3a (-147048), Cysltr2 (+192063)
chr14_73366537_73366797	Rb1 (-40845), Itm2b (+18604)
chr14_76504449_76504538	Serp2 (+52193), Tsc22d1 (+88907)
chr14_76586040_76586236	Serp2 (-29451), Lacc1 (+450503)
chr14_78086177_78086503	Fam216b (+2667), Epsti1 (+182101)
chr14_79480862_79481127	Elf1 (-199), Wbp4 (+273)
chr14_81153597_81153652	NONE
chr14_93887054_93887366	Pcdh9 (+3459)
chr14_95614555_95614615	4921530L21Rik (-266681)
chr14_100573749_100574135	Klf12 (-424178), Prr30 (+626388)
chr14_100890490_100891084	Klf12 (-741023), Prr30 (+309543)
chr14_103939633_103940240	Ednrb (-96241), Pou4f1 (+528062)
chr14_104336967_104337027	Ednrb (-493301), Pou4f1 (+131002)
chr14_105417249_105417673	Gm10076 (-264367), Ndfip2 (+158888)
chr14_117048962_117049327	Gpc6 (+123614)
chr14_118021813_118022229	Dct (+30225)
chr14_118925325_118925530	Dzip1 (-2261)
chr14_119952856_119953146	Oxgr1 (+89434), Hs6st3 (+814586)
chr14_119953215_119953552	Oxgr1 (+89051), Hs6st3 (+814969)
chr14_120587418_120587665	Ipo5 (-323652), Rap2a (+109081)
chr14_122943048_122943516	Ggact (-30120), Tmtc4 (+40001)
chr15_4101079_4101322	Plcxd3 (-274303), Oxct1 (+74818)
chr15_5106233_5106465	C7 (-42576), Card6 (+2190)
chr15_5116359_5116665	Rpl37 (-101)
chr15_6717612_6717688	Rictor (+9269), Osmr (+157319)
chr15_10692567_10693060	Ttc23l (-134146), Rai14 (+20726)
chr15_12323045_12323498	Golph3 (+1776), Pdzd2 (+269284)
chr15_12791400_12791596	Pdzd2 (-198942), 6030458C11Rik (+33159)
chr15_13117895_13118037	Cdh6 (+55673), Drosha (+293151)
chr15_25681012_25681337	Retreg1 (-162089), Myo10 (+58650)
chr15_26475050_26475115	March11 (+166019), Fbxl7 (+419966)
chr15_30338762_30339114	Dap (-885376), Ctnnd2 (+166345)
chr15_31224085_31224447	Dap (-48)
chr15_34567832_34567894	Pop1 (+72559), Nipal2 (+110843)
chr15_38542409_38542563	Atp6v1c1 (-119418), Azin1 (-23220)
chr15_39616788_39616955	Dcstamp (-129060), Rims2 (+418509)
chr15_43388617_43388998	Eif3e (-106072), Emc2 (-88421)
chr15_50963575_50964060	Trps1 (-74769), Eif3h (+901663)
chr15_53126082_53126157	Ext1 (+220039), Med30 (+413675)
chr15_55090429_55090588	Dscc1 (-18)
chr15_57662169_57662500	Slc22a22 (-184710), Zhx2 (-32330)
chr15_59413334_59413476	Trib1 (-234945), Nsmce2 (+39207)
chr15_62465437_62465905	Myc (+480280)
chr15_64203016_64203376	Fam49b (-142748), Asap1 (+179723)
chr15_64387151_64387424	Asap1 (-4369)
chr15_70971517_70971675	Fam135b (+756242)
chr15_70971804_70972198	Fam135b (+755837)
chr15_71569665_71569857	Fam135b (+158077)
chr15_72316439_72316504	Col22a1 (-282245), Kcnk9 (+229807)
chr15_72568173_72569068	Kcnk9 (-22342), Trappc9 (+492583)
chr15_72689802_72690244	Kcnk9 (-143744), Trappc9 (+371181)
chr15_74075892_74076316	Adgrb1 (-440091), Mroh5 (-236433)
chr15_75755061_75755145	Mafa (-7181), Zc3h3 (+86812)
chr15_76522098_76522621	Scrt1 (-231)
chr15_76656992_76657081	Kifc2 (-3604), Cyhr1 (-117)
chr15_76671557_76671774	Foxh1 (-1718), Ppp1r16a (+51)
chr15_76947692_76948587	1110038F14Rik (-399)
chr15_78119686_78120216	Cacng2 (+77)
chr15_78877427_78877683	Gga1 (+365)
chr15_80318371_80318895	Cacna1i (+31395), Enthd1 (+241837)
chr15_83640489_83641139	Ttll12 (-45657), Scube1 (+84207)
chr15_83714955_83715089	Ttll12 (-119865), Scube1 (+9999)
chr15_83715144_83715346	Ttll12 (-120088), Scube1 (+9776)
chr15_84829427_84829864	Phf21b (+26403), Arhgap8 (+109594)
chr15_85420391_85420764	7530416G11Rik (+82649), Atxn10 (+84197)
chr15_86034002_86034351	Celsr1 (-400)
chr15_86166814_86167464	Cerk (+19002), Gramd4 (+109444)
chr15_86952514_86952941	Fam19a5 (-672502), Tbc1d22a (+738269)
chr15_86952992_86953047	Fam19a5 (-672210), Tbc1d22a (+738561)
chr15_89174878_89175320	Plxnb2 (-4411)
chr15_91983203_91983284	Cntn1 (-67921), Smgc (+144916)
chr15_92079129_92079368	Pdzrn4 (-317666), Cntn1 (+28084)
chr15_93631142_93631525	Prickle1 (-111811), Adamts20 (+772924)
chr15_94591490_94591567	Twf1 (-1650)
chr15_95863925_95864082	Arid2 (-423569), A130051J06Rik (-72362)
chr15_96640841_96641109	Slc38a1 (+987)
chr15_98004670_98004868	Col2a1 (-74)
chr15_98775868_98776342	Arf3 (-12894), Wnt10b (+2045)
chr15_99094661_99095073	Dnajc22 (-4545)
chr15_99252018_99252378	Mcrs1 (-237)
chr15_99294935_99295476	Prpf40b (-65)
chr15_102325995_102326718	Pfdn5 (+241)
chr15_102391301_102391394	Sp7 (-25023), Sp1 (-15032)
chr15_102406323_102406930	Sp1 (+247)
chr15_102470707_102471015	Pcbp2 (+229)
chr15_102692607_102692784	Atp5g2 (-21569), Calcoco1 (+29482)
chr15_102692850_102693180	Atp5g2 (-21888), Calcoco1 (+29163)
chr15_102838362_102838664	Calcoco1 (-116335), Hoxc13 (-82590)
chr15_102998655_102999247	Hoxc6 (-10622), Hoxc8 (+8344)
chr16_3884471_3884695	Gm20695 (-65), Naa60 (-36)
chr16_4593938_4594569	Glis2 (-459)
chr16_8054084_8054237	Tmem114 (+370975), Rbfox1 (+984326)
chr16_9159291_9159358	1810013L24Rik (+329225), Grin2a (+835598)
chr16_10307163_10307841	Emp2 (+6466), Atf7ip2 (+114790)
chr16_11322802_11322878	Snx29 (-68)
chr16_11642771_11642980	Gm9961 (-258487), Snx29 (+319968)
chr16_11915825_11916145	Shisa9 (-68596), Cpped1 (-6562)
chr16_12234992_12235158	Ercc4 (-874609), Shisa9 (+250494)
chr16_12711788_12711901	Ercc4 (-397839), Shisa9 (+727264)
chr16_12770656_12770965	Ercc4 (-338873), Shisa9 (+786230)
chr16_13160296_13160519	Mkl2 (-96073), Ercc4 (+50724)
chr16_17530937_17531360	Thap7 (-13)
chr16_17619120_17619488	Smpd4 (-50)
chr16_18248481_18248536	Trmt2a (-374), Ranbp1 (+223)
chr16_18248602_18248921	Trmt2a (-121), Ranbp1 (-30)
chr16_21204287_21204844	Ephb3 (-189)
chr16_21285284_21285476	Vps8 (-137821), Ephb3 (+80625)
chr16_23108203_23108269	Eif4a2 (+477)
chr16_25058822_25059207	Tprg (-227802), Lpp (+665665)
chr16_25690560_25691238	Trp63 (+7134), P3h2 (+414885)
chr16_27388911_27389159	Ccdc50 (+166)
chr16_28805800_28806041	Fgf12 (-360694), Mb21d2 (+123777)
chr16_28806122_28806396	Fgf12 (-361032), Mb21d2 (+123439)
chr16_29689243_29689707	Hes1 (-375865), Opa1 (+110095)
chr16_31561624_31561861	Dlg1 (-102296), Bdh1 (+132995)
chr16_32246883_32247270	Wdr53 (-176), Fbxo45 (+81)
chr16_32930208_32930793	Lrch3 (+16359), Iqcg (+125689)
chr16_33871598_33871715	Itgb5 (+41980), Umps (+95381)
chr16_34426305_34426749	Umps (-459489), Kalrn (+87521)
chr16_34483463_34483585	Umps (-516486), Kalrn (+30524)
chr16_36828210_36828563	Eaf2 (-126), Iqcb1 (-21)
chr16_37962374_37962695	Gsk3b (-127753), Gpr156 (+46039)
chr16_40303072_40303299	NONE
chr16_42699027_42699729	Gap43 (-358727), Zbtb20 (-208274)
chr16_43823257_43823319	Drd3 (+61067), Qtrt2 (+66397)
chr16_44564572_44564848	Nepro (-159591), Boc (-5813)
chr16_56867511_56867979	Adgrg7 (-71890), Tmem45a (+18421)
chr16_73245054_73245316	Robo1 (+582036)
chr16_75796569_75796648	Hspa13 (-29788), Samsn1 (+112701)
chr16_75918972_75919390	Samsn1 (-9871), Nrip1 (+454646)
chr16_75960481_75960763	Samsn1 (-51312), Nrip1 (+413205)
chr16_75960844_75960993	Samsn1 (-51609), Nrip1 (+412908)
chr16_77005452_77006084	Nrip1 (-631941), Usp25 (-8301)
chr16_85085061_85085183	Atp5j (-249497), App (+88585)
chr16_85173692_85173815	App (-47)
chr16_85626091_85626161	Cyyr1 (-75709), Adamts1 (+176987)
chr16_87354394_87354564	N6amt1 (+294)
chr16_88387444_88387866	Grik1 (-97397), Cldn17 (+119323)
chr16_89944611_89945058	Krtap11-1 (-373652), Tiam1 (+29864)
chr16_90741955_90742543	Mrap (+3925), Urb1 (+68143)
chr16_90846860_90847088	Eva1c (+15861), 1110004E09Rik (+87853)
chr16_91610038_91610604	Tmem50b (-12521), Dnajc28 (+8678)
chr16_93129629_93129734	Runx1 (-303533), Setd4 (+474133)
chr17_3481863_3482192	Cldn20 (-50526), Tiam2 (+155455)
chr17_3487941_3488253	Cldn20 (-44457), Tiam2 (+161524)
chr17_3557881_3558190	Tfb1m (-323)
chr17_4626163_4626589	Nox3 (-930115), Arid1b (-368698)
chr17_4778246_4778631	Arid1b (-216635)
chr17_7870652_7870784	Fndc1 (-65744), Tagap (-55282)
chr17_8659091_8659229	Pde10a (-142585), Gm17087 (-92291)
chr17_8808998_8809353	1700010I14Rik (-179157), Pde10a (+7431)
chr17_9210664_9210961	1700010I14Rik (+222480), Pabpc6 (+458891)
chr17_9829960_9830177	Pabpc6 (-160365), Qk (+489292)
chr17_9975765_9975853	Pabpc6 (-306105), Qk (+343552)
chr17_12408161_12408357	Plg (+29650), Slc22a3 (+99445)
chr17_14203711_14204063	Dact2 (-56)
chr17_17005044_17005407	Zfp960 (-58887)
chr17_17064002_17064191	Zfp960 (-16)
chr17_17234811_17235070	Lix1 (-167731), Zfp97 (+113526)
chr17_21449987_21450218	Zfp51 (-249)
chr17_22867249_22867486	Zfp945 (-234)
chr17_24073383_24073732	Kctd5 (-73)
chr17_24666005_24666068	Zfp598 (-3715)
chr17_25115928_25116109	Ptx4 (-4741), Telo2 (-52)
chr17_25273797_25274040	Ube2i (-5)
chr17_25920301_25920630	Rab40c (-814)
chr17_27422592_27422921	Lemd2 (-218319), Grm4 (+90584)
chr17_27555001_27555813	Hmga1 (-1213)
chr17_28232500_28232773	Ppard (-117)
chr17_28247660_28247903	Fance (-65862), Ppard (+15028)
chr17_29438226_29438930	Pim1 (-52234), Fgd2 (+77636)
chr17_29965755_29966293	Mdga1 (-78142), Zfand3 (-39063)
chr17_31386147_31386330	Pde9a (+5)
chr17_31705523_31705881	Cryaa (+27769), Sik1 (+150090)
chr17_31790516_31790730	Sik1 (+65169), Cryaa (+112690)
chr17_34121048_34121446	Brd2 (+500)
chr17_34850097_34850552	Skiv2l (-115), Nelfe (-66)
chr17_35046801_35047202	Clic1 (-2964), Msh5 (-380)
chr17_35059547_35059855	Ddah2 (+666)
chr17_35076356_35076860	Ly6g6d (-2108), Ly6g6e (-329)
chr17_41936220_41937204	Ptchd4 (-379235)
chr17_43963202_43963455	Enpp5 (-115516), Rcan2 (+161478)
chr17_44777364_44777677	Supt3 (+369)
chr17_45304294_45304359	Runx2 (-489530), Cdc5l (+129380)
chr17_46607930_46608367	Srf (-51987), Ptk7 (+21355)
chr17_46862698_46863119	Bicral (-31496), Tbcc (-27775)
chr17_47611241_47611596	Gm20517 (-194), Med20 (-163), Bysl (+73)
chr17_47629476_47629702	Usp49 (-1101)
chr17_47749904_47750143	Tfeb (-35696), Pgc (+23182)
chr17_47952494_47952750	Foxp4 (-28187), 1700122O11Rik (+85671)
chr17_51766369_51766650	Tbc1d5 (-587342), Satb1 (+66162)
chr17_56200010_56200086	Mydgf (-16128), Dpp9 (+18841)
chr17_56233670_56234038	Fem1a (-22939), Dpp9 (-14965)
chr17_56516071_56516510	Znrf4 (-3808)
chr17_56727779_56727879	Ndufa11 (+10067), Nrtn (+29701)
chr17_56830834_56831299	Rfx2 (-59)
chr17_57122791_57122904	Tnfsf9 (+17463), Cd70 (+26929)
chr17_62882370_62883226	Efna5 (-1481)
chr17_64559221_64559681	Pja2 (-227535), Man2a1 (-41285)
chr17_66436849_66437269	Mtcl1 (+12691), Ddx11 (+313539)
chr17_74294865_74295281	Memo1 (-190)
chr17_79739016_79739712	Cyp1b1 (-24323), Atl2 (+156759)
chr17_79744806_79745429	Cyp1b1 (-30077), Atl2 (+151005)
chr17_81400421_81401045	Thumpd2 (-335648), Gm11096 (-41030)
chr17_81607390_81608022	Slc8a1 (+41901), Gm11096 (+165943)
chr17_83100921_83101261	Pkdcc (-114201), Gm6594 (+561833)
chr17_84049498_84049706	Haao (-202812), Zfp36l2 (+138345)
chr17_84049806_84050052	Haao (-203139), Zfp36l2 (+138018)
chr17_84185404_84187216	Haao (-339520), Zfp36l2 (+1637)
chr17_84318318_84318506	Zfp36l2 (-130465), Thada (+147784)
chr17_85070779_85070994	Prepl (+19380), Slc3a1 (+42540)
chr17_87446867_87447217	Calm2 (-107)
chr17_87532242_87533054	Epcam (-103331), Calm2 (-85713)
chr17_87540902_87540975	Epcam (-95040), Calm2 (-94004)
chr17_88065875_88066016	Fbxo11 (-655)
chr17_88066125_88066398	Fbxo11 (-971)
chr17_90638952_90639452	Gm10184 (-728753), Gm10308 (-449291)
chr17_91013182_91013717	Gm10308 (-75043)
chr18_3566370_3567159	Lyzl1 (-599067), Bambi (+58808)
chr18_5645703_5645787	Zeb1 (+53885), Arhgap12 (+490353)
chr18_7547211_7547540	Armc4 (-249475), Mpp7 (+79487)
chr18_8761937_8762006	Fzd8 (-450884), Wac (+892775)
chr18_9449971_9450153	Ccny (+88)
chr18_9865462_9865573	Gm17430 (-138848), Thoc1 (-92662)
chr18_12026100_12026376	Tmem241 (+95292), Cables1 (+187018)
chr18_13929917_13930251	Zfp521 (+42649), Hrh4 (+923094)
chr18_14449837_14449908	Gm5160 (+25005), Ss18 (+233041)
chr18_15084749_15085065	Kctd1 (-21325), Aqp4 (+318777)
chr18_15544207_15544484	Aqp4 (-140662), Chst9 (+173700)
chr18_16476678_16476762	Cdh2 (+332526), Gm10036 (+643926)
chr18_20317567_20317708	Dsg1b (-59091), Dsg1a (+6827)
chr18_20625600_20625817	Ttr (-39541), Dsg2 (+67635)
chr18_23954435_23954890	Zfp397 (-42)
chr18_24361489_24362376	2700062C07Rik (-108928), Galnt1 (+156166)
chr18_25668087_25668471	Celf4 (+85704), AW554918 (+499259)
chr18_26344989_26345134	Celf4 (-591079)
chr18_34777009_34777125	Kdm3b (+20)
chr18_34860898_34861154	Egr1 (+1203), Etf1 (+70981)
chr18_35403028_35403654	Lrrtm2 (-188317), Sil1 (+95584)
chr18_35598507_35598698	Paip2 (-46)
chr18_38175246_38175358	Arap3 (-177728), Pcdh1 (+34460)
chr18_38992919_38992998	Arhgap26 (-186)
chr18_39488685_39489142	Nr3c1 (+1760), Arhgap26 (+495769)
chr18_39738642_39739019	Nr3c1 (-248157), Pabpc2 (-34666)
chr18_40432678_40433158	Kctd16 (+174557)
chr18_41951191_41951349	Prelid2 (-76)
chr18_43878576_43878984	Gm94 (-85902), Spink5 (-84455)
chr18_43984814_43985243	Spink14 (-42840), Spink5 (+21794)
chr18_45882262_45882761	Trim36 (+330095), Kcnn2 (+613507)
chr18_46198875_46199129	Trim36 (+13605), Kcnn2 (+929997)
chr18_54118971_54119390	Csnk1g3 (+257068), Zfp608 (+870999)
chr18_54990418_54990856	Zfp608 (-457)
chr18_54997506_54997782	Zfp608 (-7464)
chr18_55389105_55389179	Zfp608 (-398962)
chr18_56189424_56189991	Gramd3 (-242424)
chr18_56696889_56697002	Lmnb1 (-10867), Tex43 (+108596)
chr18_56707331_56707859	Lmnb1 (-218)
chr18_59678792_59678922	Gm4951 (-533223), Chsy3 (+503456)
chr18_60624072_60624701	Synpo (-51)
chr18_61952021_61952396	Sh3tc2 (-866)
chr18_62923447_62924147	Napg (-54039), Apcdd1 (+1470)
chr18_63277838_63278245	Piezo2 (+109141), Napg (+300206)
chr18_64339843_64340070	Onecut2 (-407)
chr18_65559648_65560273	Zfp532 (-20269), Malt1 (+128998)
chr18_66039612_66039808	Lman1 (-37073), Ccbe1 (+252128)
chr18_67205213_67205420	Chmp1b (-74)
chr18_68157092_68157325	Fam210a (+143124), Ldlrad4 (+223952)
chr18_68230303_68230397	Fam210a (+69983), Ldlrad4 (+297093)
chr18_68942801_68943265	Mc2r (-513782), 4930546C10Rik (+7108)
chr18_69344299_69344706	Tcf4 (+14)
chr18_69346419_69346796	Ccdc68 (-578858), Tcf4 (+2119)
chr18_73762202_73762439	Elac1 (-7842), Me2 (+53071)
chr18_75380257_75380472	Smad7 (+12836), Ctif (+317331)
chr18_75606877_75607017	Ctif (+90749), Smad7 (+239418)
chr18_75697276_75698076	Ctif (+20)
chr18_76219769_76219939	Smad2 (-21726), Zbtb7c (+399676)
chr18_80104938_80105057	Adnp2 (+46484), Pard6g (+58103)
chr18_81054090_81054549	Sall3 (-67742)
chr18_81855651_81855740	Sall3 (-869118), Galr1 (+551081)
chr18_83023475_83023702	Zfp516 (+112710)
chr18_83543791_83543946	Tshz1 (+542535), Zfp516 (+632990)
chr18_88647581_88648201	Socs6 (+246431), Gm5096 (+891605)
chr18_88894381_88894465	Socs6 (-101)
chr19_4756286_4756959	Rbm4b (+52)
chr19_4988836_4989374	Npas4 (+866)
chr19_5309135_5309260	Catsper1 (-26543), Gal3st3 (+10867)
chr19_5447579_5448056	Fosl1 (+115)
chr19_7143514_7144049	Flrt1 (-38053), Otub1 (+62534)
chr19_7268020_7268183	Rcor2 (-199)
chr19_7482515_7483014	Rtn3 (+524)
chr19_9079733_9079975	Scgb1a1 (+8104), Ahnak (+90570)
chr19_10017840_10018389	Rab3il1 (-78)
chr19_10403061_10403485	Syt7 (+14183), Lrrc10b (+54174)
chr19_11578898_11579008	Ms4a6d (+25896), Ms4a4d (+42152)
chr19_12795382_12795712	Lpxn (-3059), Zfp91 (+579)
chr19_13155685_13155775	Olfr1461 (-7270), Olfr1459 (-6198)
chr19_14693280_14693709	Tle4 (-95512)
chr19_17199599_17199767	Gcnt1 (+156984), Prune2 (+243565)
chr19_17412987_17413344	Rfk (+19123), Pcsk5 (+424466)
chr19_24029845_24030192	Fam189a2 (+1000), Apba1 (+271143)
chr19_25353286_25353682	Dmrt1 (-152134), Kank1 (+116509)
chr19_26730419_26730729	Gm815 (-155351), Smarca2 (+125522)
chr19_27116036_27116480	Vldlr (-101099), Gm815 (+230333)
chr19_28690039_28690899	Slc1a1 (-144605), Glis3 (-10392)
chr19_32388432_32388975	Sgms1 (-39388), Rpl9-ps6 (+77871)
chr19_34091222_34091597	Lipm (-9533), Lipn (+24052)
chr19_34091669_34092166	Lipm (-9025), Lipn (+24560)
chr19_34954031_34954281	Kif20b (+31795)
chr19_36111062_36111365	Ankrd1 (+8630), Rpp30 (+27498)
chr19_37716747_37717336	Cyp26a1 (+19234), Myof (+326535)
chr19_37768209_37768669	Cyp26a1 (+70631), Myof (+275138)
chr19_40894936_40895220	Zfp518a (+373)
chr19_42280181_42280857	Golga7b (+32945), Crtac1 (+151264)
chr19_43255721_43255776	Hps1 (-475773), Hpse2 (+132562)
chr19_43674826_43675117	Slc25a28 (-91)
chr19_43675173_43675270	Slc25a28 (-341)
chr19_45581642_45581760	Gm17018 (+21086), Fbxw4 (+78611)
chr19_45742890_45742966	Fgf8 (-55)
chr19_45743027_45743390	Fgf8 (-336)
chr19_45749564_45749702	Npm3 (-42)
chr19_45920387_45920757	Kcnip2 (-104511), 9130011E15Rik (+77916)
chr19_46499832_46500414	Trim8 (-1525)
chr19_46501282_46501531	Trim8 (-241)
chr19_47500498_47500958	Sh3pxd2a (-36317), Stn1 (+36391)
chr19_47937359_47937880	Cfap58 (-92)
chr19_48690957_48691395	Sorcs3 (+485151)
chr19_50349286_50349345	Rpl13a-ps1 (-318581), Sorcs1 (+329330)
chr19_51142696_51142763	Sorcs1 (-464084)
chr19_53105704_53106170	Xpnpep1 (-65723), Add3 (-34508)
chr19_53338670_53339230	Mxi1 (+28444), Gm10197 (+32816)
chr19_53944403_53944996	Shoc2 (-176), Bbip1 (-73)
chr19_53956947_53957214	Adra2a (-88101), Shoc2 (+12205)
chr19_54295605_54295997	Adra2a (+250619), Gpam (+803650)
chr19_55741431_55741679	Tcf7l2 (-255)
chr19_55743137_55743341	Habp2 (-544683), Tcf7l2 (+1429)
chr19_59866438_59866838	Rab11fip2 (+76726), Emx2 (+408266)
chr19_60147234_60147754	Rab11fip2 (-204130), Fam204a (+79203)
chr2_6075090_6075358	Proser2 (+54987), Upf2 (+123755)
chr2_9053675_9054124	Gata3 (+824700)
chr2_9577465_9578222	Gata3 (+300756)
chr2_10928634_10928798	Prkcq (-243392), Sfmbt2 (+556266)
chr2_11778175_11778332	Fbxo18 (-672), Ankrd16 (-237)
chr2_12145124_12145527	Itga8 (+156596), Ankrd16 (+366835)
chr2_14627674_14628044	Cacnb2 (+23553), Nsun6 (+427025)
chr2_15932052_15932247	Plxdc2 (-424154), Malrd1 (+405671)
chr2_16490833_16491194	Plxdc2 (+134710)
chr2_16683038_16683145	Plxdc2 (+326788)
chr2_17900270_17900631	Nebl (-169408), H2al2a (+96507)
chr2_18056525_18057070	Mllt10 (+1561), Dnajc1 (+336032)
chr2_18317820_18318203	Dnajc1 (+74818), Mllt10 (+262775)
chr2_25552068_25552128	Edf1 (-5749), Traf2 (-5188)
chr2_27475804_27476174	Brd3 (-316)
chr2_27476241_27476341	Brd3 (-618)
chr2_27972179_27972685	Col5a1 (+86007), Fcnb (+112453)
chr2_29124978_29125142	Setx (+68)
chr2_29582702_29582854	Rapgef1 (-36942), Med27 (+235959)
chr2_29776852_29777406	Coq4 (-11130), Gm13547 (+15601)
chr2_29827161_29827371	Urm1 (-76)
chr2_30067121_30067211	Pkn3 (-11418), Set (+5313)
chr2_31509551_31510001	Fubp3 (-63041), Ass1 (+39569)
chr2_32586984_32587137	St6galnac4 (-34)
chr2_33017717_33018508	Slc2a8 (-36031), Garnl3 (+69140)
chr2_33605057_33605435	Zbtb43 (-142893), Lmx1b (+35265)
chr2_33641500_33643258	Lmx1b (-1868)
chr2_34090516_34091046	Mvb12b (-202835), Pbx3 (+281263)
chr2_34249606_34250031	Mvb12b (-361873), Pbx3 (+122225)
chr2_34253081_34253391	Mvb12b (-365290), Pbx3 (+118808)
chr2_35691656_35691838	Dab2ip (+69710), Ttll11 (+287877)
chr2_36077337_36077621	Lhx6 (+27792), Morn5 (+28021)
chr2_36741041_36741126	Olfr348 (-43192), Olfr347 (+9182)
chr2_38492476_38492857	Nek6 (-18976), Lhx2 (+141908)
chr2_39007802_39008051	Rpl35 (-2303), Arpc5l (-149)
chr2_43978700_43978961	Arhgap15 (+229961), Gtdc1 (+882791)
chr2_46536232_46536497	NONE
chr2_47184455_47184671	NONE
chr2_49810141_49810408	Lypd6 (-256189), Lypd6b (+22587)
chr2_49904268_49904660	Lypd6 (-162000), Lypd6b (+116776)
chr2_50005168_50005619	Lypd6 (-61070), Lypd6b (+217706)
chr2_50368943_50369240	Mmadhc (-72375), Rnd3 (+780019)
