# GREAT version 4.0.4	Species assembly: mm10	Association rule: Basal+extension: 5000 bp upstream, 1000 bp downstream, 1000000 bp max extension, curated regulatory domains included
chr1_9827915_9828152	Mcmdc2 (-80604), Sgk3 (+29891)
chr19_25221350_25222386	Kank1 (-15107), Dock8 (+222339)
chr19_25353194_25353718	Dmrt1 (-152162), Kank1 (+116481)
chr19_34101362_34102566	Lipm (+1021), Ankrd22 (+64089)
chr19_37767881_37768851	Cyp26a1 (+70558), Myof (+275211)
chr19_42280099_42280665	Golga7b (+32808), Crtac1 (+151401)
chr19_42598718_42599389	Loxl4 (+13759), R3hcc1l (+80295)
chr19_43897449_43897736	Dnmbp (+42598), Abcc2 (+115401)
chr19_44741167_44741700	Pax2 (-14611), Hif1an (+178584)
chr19_46059071_46059892	Nolc1 (-16381), Pprc1 (+2943)
chr19_47500254_47501036	Sh3pxd2a (-36234), Stn1 (+36474)
chr19_48690987_48691433	Sorcs3 (+485185)
chr19_56105678_56106277	Habp2 (-181944), Tcf7l2 (+364168)
chr19_57119757_57120427	Afap1l2 (-111882), Ablim1 (+95940)
chr19_57269735_57270471	Fam160b1 (-90906), Ablim1 (-54071)
chr19_59865807_59866924	Rab11fip2 (+76998), Emx2 (+407994)
chr2_5975022_5975494	Upf2 (+23789), Proser2 (+154953)
chr2_6074845_6075635	Proser2 (+54971), Upf2 (+123771)
chr2_9577200_9578234	Gata3 (+300883)
chr2_12144741_12145685	Itga8 (+156709), Ankrd16 (+366722)
chr2_14627433_14627990	Cacnb2 (+23406), Nsun6 (+427172)
chr2_26841918_26842257	Lcn4 (-170806), Abo (+22891)
chr2_27971796_27972692	Col5a1 (+85819), Fcnb (+112641)
chr2_31509184_31510708	Fubp3 (-62871), Ass1 (+39739)
chr2_32952005_32952373	Rpl12 (-9370), Fam129b (+76075)
chr2_33604536_33605368	Zbtb43 (-142599), Lmx1b (+35559)
chr2_35942231_35942705	Ttll11 (+37156), Dab2ip (+320431)
chr2_49809911_49810780	Lypd6 (-256118), Lypd6b (+22658)
chr2_50004827_50005779	Lypd6 (-61161), Lypd6b (+217615)
chr2_50368726_50369296	Mmadhc (-72294), Rnd3 (+780100)
chr2_51015119_51016073	Mmadhc (-718879), Rnd3 (+133515)
chr2_54646905_54647086	Kcnj3 (-788974), Galnt13 (+210609)
chr2_59403588_59404692	Dapl1 (-80513), Pkp4 (+243290)
chr2_68245308_68245816	B3galt1 (+127849), Stk39 (+226706)
chr2_71511943_71512800	Dlx1 (-15741), Metap1d (+59096)
chr2_71530324_71531774	Dlx1 (+2936), Dlx2 (+15705)
chr2_71541880_71544776	Dlx2 (+3426), Dlx1 (+15215)
chr2_71544955_71545796	Dlx2 (+1378), Dlx1 (+17263)
chr2_73140006_73140730	Gm11084 (-153652), Ola1 (+74079)
chr2_75703196_75704248	Nfe2l2 (+919)
chr2_77173332_77174053	Ccdc141 (-3076)
chr2_83723882_83724416	Itgav (-248)
chr2_92036876_92037367	Phf21a (-184440), Creb3l1 (-12620)
chr2_102137912_102138867	Ldlrad3 (+47995), Commd9 (+252137)
chr2_102447756_102448774	Trim44 (-47365), Fjx1 (+4234)
chr2_102782700_102783095	Cd44 (+118727), Slc1a2 (+124239)
chr2_102864644_102865304	Cd44 (+36651), Slc1a2 (+206315)
chr2_107240363_107240989	Fshb (-181020), Kcna4 (-49963)
chr2_113440122_113441079	Fmn1 (+112819), Grem1 (+318045)
chr2_118544289_118545050	Srp14 (-64959), Bmf (+5017)
chr2_119997324_119998535	Jmjd7 (-29553), Mapkbp1 (+25231)
chr2_121044771_121045296	Epb42 (-7962), Tgm5 (+40807)
chr2_128702611_128703344	Tmem87b (-115140), Mertk (+4022)
chr2_133716790_133717304	Bmp2 (+164888), Hao1 (+837321)
chr2_137828048_137829042	Jag1 (-711901), Btbd3 (-449948)
chr2_138302840_138303516	Btbd3 (+24685)
chr2_141289008_141289842	Flrt3 (-617956)
chr2_144101148_144101860	Mgme1 (-169396), Banf2 (+68445)
chr2_148532747_148533704	Nxt1 (-139375), Cd93 (-89663)
chr2_156726076_156727027	Myl9 (-48868), Dlgap4 (+112847)
chr2_157559730_157560474	Nnat (-28)
chr2_158401703_158401910	Ralgapb (-8144), Snhg11 (+26169)
chr2_158402066_158402734	Ralgapb (-7551), Snhg11 (+26762)
chr2_165275048_165276108	Cdh22 (-40725), Slc35c2 (+12291)
chr2_166251223_166252031	Sulf2 (-95964), Prex1 (+462205)
chr2_167061144_167061888	Znfx1 (+1499), Ddx27 (+46323)
chr2_170708924_170709905	4930470P17Rik (-107398), Dok5 (-22392)
chr2_172623672_172624157	Tfap2c (+72924), Bmp7 (+316406)
chr2_172788941_172790019	Bmp7 (+150841), Tfap2c (+238489)
chr2_172855552_172856470	Bmp7 (+84310), Tfap2c (+305020)
chr2_172937423_172938185	Bmp7 (+2517), Tfap2c (+386813)
chr2_172996160_172996535	Rae1 (-3769)
chr2_174428666_174429601	Ctsz (+9905), Nelfcd (+13330)
chr2_174603135_174603560	Prelid3b (-130267), Zfp831 (-40186)
chr2_174661185_174661931	Edn3 (-99061), Zfp831 (+18024)
chr2_177205277_177205685	Gm14409 (+61555), Gm14401 (+125225)
chr2_177511015_177511494	Gm14322 (-251643), Gm14403 (+12940)
chr2_177517751_177518656	Gm14322 (-244694), Gm14403 (+19889)
chr3_4162631_4162909	Hnf4g (+654740)
chr3_6183515_6183769	Pex2 (-607492), 1700008P02Rik (+436801)
chr3_9711066_9712118	Zfp704 (-101507), Pag1 (+122087)
chr3_14071509_14072055	Slc7a12 (-408915), Ralyl (+600100)
chr3_29381545_29381970	Egfem1 (+299025), Mecom (+631398)
chr3_30999618_31000202	Skil (-95151), Prkci (+4163)
chr3_34808824_34809188	Atp11b (-945128), Sox2 (+158601)
chr3_37641067_37642562	Spry1 (+1735), Gm5148 (+82514)
chr3_37642698_37643251	Spry1 (+2895), Gm5148 (+81354)
chr3_39838360_39839022	Intu (-702076), Fat4 (+951751)
chr3_41563433_41563670	Jade1 (+183)
chr3_50427414_50427997	Pcdh18 (-670390), Slc7a11 (+15905)
chr3_50442906_50443889	Slc7a11 (+213)
chr3_52006494_52007506	Maml3 (+98076), Mgst2 (+345821)
chr3_52138059_52139343	Foxo1 (-129635), Maml3 (-33625)
chr3_53463421_53463885	Nhlrc3 (-321), Proser1 (-13)
chr3_54696771_54697275	Supt20 (+3918), Exosc8 (+38370)
chr3_55538955_55539973	Mab21l1 (-243046), Dclk1 (+296938)
chr3_60172817_60173405	Mbnl1 (-328068), Sucnr1 (+91242)
chr3_63989240_63989459	Vmn2r1 (-92292), Gmps (+13244)
chr3_84191011_84192610	Gm6525 (+17707), Trim2 (+78980)
chr3_85931675_85932031	Glt28d2 (-44337), Prss48 (+70638)
chr3_85969739_85970372	Glt28d2 (-82540), Prss48 (+32435)
chr3_87150550_87151201	Cd1d1 (-151435), Kirrel (+23871)
chr3_87529218_87530902	Arhgef11 (-87515), Etv3 (+4653)
chr3_88207795_88208566	Rhbg (+46528), Mef2d (+65609)
chr3_89280734_89281464	Efna1 (-1454)
chr3_93699660_93700092	Gm5773 (-73124), Gm37596 (-6806)
chr3_97751907_97753154	Prkab2 (+94319), Pde4dip (+136176)
chr3_98056420_98057176	Adam30 (-103862), Notch2 (+43260)
chr3_100798620_100799246	Man1a2 (-113430), Vtcn1 (-26526)
chr3_103151551_103152217	Bcas2 (-19771), Dennd2c (+24328)
chr3_104541864_104542080	Slc16a1 (-96696), Lrig2 (-30132)
chr3_104997213_104998102	Wnt2b (-35737), Cttnbp2nl (+55488)
chr3_107593472_107593971	Alx3 (-1309)
chr3_108052040_108052438	Gstm4 (-7345), Ampd2 (+33160)
chr3_108425556_108426165	Celsr2 (-10309), Sars (+19308)
chr3_115638461_115638620	S1pr1 (+76531), Olfm3 (+557576)
chr3_117120167_117120924	Palmd (-151559), Plppr4 (+240330)
chr3_121451443_121451871	Cnn3 (+25160), Slc44a3 (+80747)
chr3_123890026_123890505	Tram1l1 (-430589), Ndst3 (-199413)
chr3_127745520_127745892	Alpk1 (+34821), Neurog2 (+112571)
chr3_129705227_129705726	Egf (+49839), Elovl6 (+173091)
chr3_131107045_131107467	Lef1 (-3215)
chr3_131177548_131178523	Lef1 (+67565), Hadh (+94065)
chr3_131244276_131244734	Hadh (+27596), Lef1 (+134034)
chr3_131597041_131597411	Dkk2 (-488066), Papss1 (+32458)
chr3_141482355_141482849	Unc5c (+17028), Bmpr1b (+499662)
chr3_143984701_143985494	Lmo4 (+220122)
chr3_144643069_144643708	Selenof (+72963), Sh3glb1 (+76934)
chr3_146723127_146723946	Samd13 (-37945), Prkacb (+57879)
chr3_149256212_149256676	Adgrl2 (-301786)
chr3_152819948_152820549	Pigk (+106136), St6galnac5 (+161997)
chr3_153658345_153658848	St6galnac5 (-676351), St6galnac3 (+66577)
chr4_3909306_3909834	Mos (-37465), Plag1 (+28812)
chr4_8117884_8118086	Car8 (+121056)
chr4_8766424_8766605	Clvs1 (-502802), Chd7 (+75150)
chr4_10980759_10981211	Plekhf2 (+26691), 2610301B20Rik (+106487)
chr4_11408223_11408836	Virma (-77513), Esrp1 (-21747)
chr4_22422498_22422728	Fbxl4 (+65070), Pou3f2 (+65753)
chr4_25262276_25262725	Fhl5 (-19625), Ufl1 (+19320)
chr4_31853771_31854234	Map3k7 (-110094)
chr4_31880186_31880676	Map3k7 (-83666)
chr4_41107658_41108957	Aqp3 (-10125), Nol6 (+16147)
chr4_41921366_41921821	Fam205a4 (-44464), Gm21541 (+17984)
chr4_42132667_42133140	Gm13306 (-21136), Gm13304 (+18087)
chr4_42630042_42630322	Gm2564 (+463)
chr4_44023733_44024529	Clta (+11453), Gne (+60046)
chr4_58496653_58497199	Lpar1 (+56385), Musk (+210964)
chr4_62640446_62641350	Zfp618 (-324676), Rgs3 (+21378)
chr4_70594592_70594739	Megf9 (-59738)
chr4_74464052_74464598	Kdm4c (+212389), Tmem261 (+813980)
chr4_88779584_88779910	Ifnz (-2384), Gm13272 (-103)
chr4_89644597_89644906	Cdkn2b (-333720), Dmrta1 (-43446)
chr4_95068365_95068947	Fggy (-488851), Jun (-16434)
chr4_99267882_99268166	Gm12689 (-27876), Atg4c (+74090)
chr4_100912018_100912312	Gm10577 (+108531), Cachd1 (+135490)
chr4_105196551_105197677	Gm12728 (-592755), Plpp3 (+39767)
chr4_105347909_105348196	Gm12728 (-441816), Plpp3 (+190706)
chr4_106091527_106093241	Usp24 (-223850), Gm12728 (+302515)
chr4_106816047_106816653	Ssbp3 (-95120), Acot11 (-11352)
chr4_106848718_106848955	Ssbp3 (-62633), Acot11 (-43839)
chr4_111451083_111451992	Spata6 (-268446), Bend5 (+36532)
chr4_114937144_114937870	Foxe3 (-11494), Cmpk1 (+49734)
chr4_119408339_119408854	Ppih (-88098), Ccdc30 (+6924)
chr4_119415302_119415837	Ccdc30 (-49)
chr4_120589563_120590521	Cited4 (-76530), Gm8439 (+1297)
chr4_120602808_120603094	Cited4 (-63621), Gm8439 (+14206)
chr4_120649484_120650074	Cited4 (-16793), Gm8439 (+61034)
chr4_123311639_123312484	Oxct2a (+11572), Pabpc4 (+29151)
chr4_124047956_124048717	Rragc (+130891), 3100002H09Rik (+562466)
chr4_125318813_125319618	Zc3h12a (-191376), Grik3 (-171484)
chr4_127364607_127366057	Gjb5 (-7151), CK137956 (+605619)
chr4_129130337_129131043	Hpca (-8654), Fndc5 (-6309)
chr4_131391115_131391695	Ptpru (+446826), Matn1 (+447020)
chr4_131896198_131896599	Tmem200b (-25372), Srsf4 (+22782)
chr4_132269780_132270306	Taf12 (-4332)
chr4_133042243_133042565	Wasf2 (-88101), Ahdc1 (+30898)
chr4_133125106_133126249	Wasf2 (-4827)
chr4_133755923_133757903	Arid1a (-3302)
chr4_133813872_133814258	Arid1a (-60454), Rps6ka1 (+73732)
chr4_134019055_134020274	Lin28a (-824)
chr4_135570326_135570556	Grhl3 (+3189), Stpg1 (+74454)
chr4_135590415_135591703	Ifnlr1 (-95228), Grhl3 (-17429)
chr4_136247744_136248097	Tcea3 (-31)
chr4_137734590_137735973	Rap1gap (+54529), Alpl (+61102)
chr4_139309793_139310553	Akr7a5 (-571), Pqlc2 (+535)
chr4_140420762_140421557	Igsf21 (-174376), Arhgef10l (+227590)
chr4_141124988_141126169	Szrd1 (+14187), Spata21 (+37246)
chr4_141326801_141327760	Fam131c (-40939), Epha2 (+26041)
chr4_142251292_142251872	Kazn (-12181), Prdm2 (+961123)
chr4_149067037_149067807	Pex14 (+32454), Casz1 (+262993)
chr4_150871450_150872544	Errfi1 (+16924), Park7 (+37629)
chr4_152082698_152083435	Plekhg5 (-13652), Nol9 (+43740)
chr4_152799382_152799661	Nphp4 (+321380), Ajap1 (+683289)
chr4_154573900_154574575	Arhgef16 (-274184), Prdm16 (+62628)
chr5_4685598_4686312	Fzd1 (+72080), Mterf1b (+493588)
chr5_13058938_13059503	Sema3a (-340088), Sema3d (+675836)
chr5_16081954_16082631	Hgf (-471257), Cacna2d1 (+147505)
chr5_17888686_17889080	Gnat3 (-73666), Cd36 (-39091)
chr5_20843813_20845021	Phtf2 (+37707)
chr5_22254478_22254904	Slc26a5 (-389087), Reln (+90011)
chr5_24472639_24473124	Agap3 (+20705), Gbx1 (+54320)
chr5_24757808_24758735	Crygn (-264)
chr5_31988722_31988873	Fosl2 (-147003), Babam2 (+290748)
chr5_32482016_32482709	Yes1 (-128821), Ppp1cb (+23520)
chr5_33696560_33697996	Tmem129 (-38862), Fgfr3 (-24513)
chr5_35759078_35759795	Afap1 (-133882), Ablim2 (+1386)
chr5_37828605_37829124	Msx1 (-4282)
chr5_38297657_38298683	Drd5 (-21197), Otop1 (+20766)
chr5_47558667_47559059	Slit2 (-424291)
chr5_49996638_49996792	Kcnip4 (-471808), Adgra3 (+62291)
chr5_51667389_51667875	Ppargc1a (-113710), Dhx15 (+522882)
chr5_64710125_64710633	Klf3 (-93009), Tbc1d1 (+550928)
chr5_75309625_75309885	Kit (-265200), Pdgfra (+153856)
chr5_76169653_76170186	Tmem165 (-13960), Srd5a3 (+29649)
chr5_77242369_77242782	Spink2 (-31105), Rest (-22915)
chr5_77678168_77678529	Igfbp7 (-270309)
chr5_79498863_79499959	NONE
chr5_88162456_88164229	Gm7714 (-105576), Gm11116 (-51813)
chr5_89205231_89205727	Gc (+252419), Slc4a4 (+318180)
chr5_98690251_98691139	Bmp3 (-163756), Gm11111 (+138000)
chr5_99401860_99402716	Gm35911 (-504028), Rasgef1b (-149361)
chr5_99728733_99729813	Rasgef1b (-476346), Gm35911 (-177043)
chr5_100067158_100068139	Enoph1 (+27664), Tmem150c (+92159)
chr5_100226694_100227225	Tmem150c (-67152), Sec31a (+189274)
chr5_103411695_103412824	Mapk10 (-200926), Ptpn13 (-13241)
chr5_111006204_111007025	Pitpnb (-324192), Ttc28 (+126812)
chr5_112718591_112718989	Sez6l (-141815), Myo18b (+177572)
chr5_113937543_113938038	Coro1c (-29033), Ssh1 (+56103)
chr5_114537175_114538012	Fam222a (-30422), Mvk (+93308)
chr5_115007209_115008149	Sppl3 (-3458)
chr5_115394235_115394782	Cox6a1 (-45528), Msi1 (-35090)
chr5_115438043_115438886	Pla2g1b (-27801), Msi1 (+8866)
chr5_115489652_115490228	Pxn (-16868), Sirt4 (-5215)
chr5_117349515_117349848	Wsb2 (-7622), Vsig10 (+30599)
chr5_118206469_118207301	Hrk (+37137), Rnft2 (+37976)
chr5_118778230_118778653	Tbx3 (-892576), Med13l (+217703)
chr5_119680595_119681108	Tbx5 (-153811), Tbx3 (+9834)
chr5_122473964_122474559	Atp2a2 (+27963), Anapc7 (+52569)
chr5_122811923_122812440	Camkk2 (-32800), Anapc5 (+9157)
chr5_123138506_123138812	Setd1b (-3534)
chr5_123676636_123677252	Vps33a (-103906), Clip1 (+7674)
chr5_129966487_129966787	Vkorc1l1 (+24667), Gusb (+36412)
chr5_131656640_131657143	Auts2 (-179868)
chr5_134255161_134255557	Ncf1 (-25734), Gtf2i (+59401)
chr5_134313576_134314029	Gtf2i (+957)
chr5_134378866_134379022	Gtf2i (-64184), Gtf2ird1 (+77748)
chr5_135484499_135485548	Pom121 (-90478), Hip1 (+60091)
chr5_135790394_135790983	Srrm3 (-27417), Mdh2 (+12209)
chr5_136392684_136393673	Sh2b2 (-148276), Cux1 (+174067)
chr5_136462475_136463073	Sh2b2 (-217871), Cux1 (+104472)
chr5_138195378_138196719	Nxpe5 (-33773), Mblac1 (+1735)
chr5_138991478_138992013	Pdgfa (+3291), Gm5294 (+171666)
chr5_138992412_138994516	Pdgfa (+1573), Gm5294 (+173384)
chr5_140061280_140062710	Elfn1 (+154052), Mad1l1 (+259557)
chr5_140787878_140789290	Gna12 (+41847), Amz1 (+53058)
chr5_142814417_142815443	Tnrc18 (+2732), Slc29a4 (+112829)
chr5_142815895_142816475	Tnrc18 (+1477), Slc29a4 (+114084)
chr5_142822983_142823707	Tnrc18 (-5683), Fbxl18 (+71893)
chr5_145962974_145963762	Cyp3a11 (-83404), Cyp3a25 (+46249)
chr5_146481093_146481261	Gm6408 (-788)
chr5_146484019_146484218	Gm6370 (-7244), Gm6408 (+2154)
chr5_148443602_148444367	Slc7a1 (-44081), Ubl3 (+108677)
chr5_148548376_148548577	Slc7a1 (-148573), Ubl3 (+4185)
chr5_149142674_149143895	Hmgb1 (-90245), Uspl1 (-41378)
chr5_150068254_150068729	Fry (-191275), Rxfp2 (+49817)
chr5_150261894_150262837	Fry (+2599), Zar1l (+255798)
chr6_4177655_4177893	Col1a2 (-327719), Bet1 (-90802)
chr6_6597509_6598097	Dlx6 (-265531), Sem1 (-19145)
chr6_6877903_6878539	Dlx5 (+3864), Dlx6 (+14887)
chr6_23291903_23293060	Fezf1 (-44120), Rnf133 (+357823)
chr6_31068175_31068419	Mkln1 (-330438), Klf14 (-109219)
chr6_33935658_33936132	Lrguk (-93553), Exoc4 (+686810)
chr6_36388037_36388580	Chrm2 (+225)
chr6_38738179_38738573	Clec2l (+75307), Hipk2 (+137789)
chr6_39204889_39205411	Parp12 (-86801), Kdm7a (+1639)
chr6_39515436_39516465	Mkrn1 (-95489), Dennd2a (+41916)
chr6_43420912_43421066	Nobox (-111435), Tpk1 (+245289)
chr6_48840815_48841662	Tmem176a (-273), Tmem176b (-259)
chr6_49194990_49195708	Igf2bp3 (+19608), Malsu1 (+121554)
chr6_50319650_50320104	Dfna5 (-56015), Osbpl3 (+50338)
chr6_51162861_51163057	Npvf (-508520), Nfe2l3 (-269711)
chr6_51441965_51442471	Nfe2l3 (+9548), Hnrnpa2b1 (+27627)
chr6_53313767_53314798	Creb5 (+27013), Tril (+506547)
chr6_60739532_60740699	Snca (+88888)
chr6_60830285_60830625	Snca (-1451)
chr6_66009234_66010113	Mad2l1 (-525716), 4930544G11Rik (+57065)
chr6_71156292_71157263	Fabp1 (-43049), Thnsl2 (-12339)
chr6_71688922_71689378	Kdm3a (-56464), Reep1 (-18411)
chr6_71785267_71785693	Mrpl35 (+38330), Reep1 (+77919)
chr6_71831606_71832189	Immt (+567)
chr6_72755061_72755723	Tgoln1 (-138392), Tcf7l1 (+33560)
chr6_77000023_77000682	Gm9008 (-502569), Lrrtm1 (-242344)
chr6_86372003_86372198	Snrpg (+797)
chr6_88730403_88731008	Mgll (+6002), Abtb1 (+111194)
chr6_88788196_88788416	Abtb1 (+53594), Mgll (+63602)
chr6_88974359_88974961	Tpra1 (+72409), Plxna1 (+387960)
chr6_90463534_90463787	Klf15 (+987)
chr6_91323314_91324229	Wnt7a (+87591), Fbln2 (+111317)
chr6_91324366_91325813	Wnt7a (+86273), Fbln2 (+112635)
chr6_94453220_94453916	Magi1 (-170246), Slc25a26 (-46763)
chr6_97318552_97319248	Lmod3 (-66141), Frmd4b (+168905)
chr6_100823129_100824075	Ppp4r2 (-10020), Gxylt2 (+118868)
chr6_101260555_101261285	Pdzrn3 (+116977), Ppp4r2 (+427298)
chr6_104716113_104716473	Cntn4 (-961452), Cntn6 (+223371)
chr6_113795208_113795885	Sec13 (-54804), Atp2b2 (+139134)
chr6_114916333_114918040	Vgll4 (+4634), Atg7 (+274075)
chr6_114996247_114997497	Vgll4 (-75051), Tamm41 (+41004)
chr6_118599668_118600028	Ankrd26 (-37622), Cacna1c (+508127)
chr6_118758397_118758711	Ankrd26 (-196328), Cacna1c (+349421)
chr6_119307751_119308426	Lrtm2 (+22677), Cacna2d4 (+71563)
chr6_120428055_120428672	Il17ra (-34883), Kdm5a (+64240)
chr6_121057146_121057812	Bid (-140626), Mical3 (+24130)
chr6_121069244_121070033	Bid (-152786), Mical3 (+11970)
chr6_126183823_126184396	Ntf3 (-17395), Kcna5 (+351302)
chr6_127659462_127660705	Cracr2a (+82109), Prmt8 (+109388)
chr6_128338888_128339485	Tead4 (-38374), Tulp3 (+16664)
chr6_131420352_131421354	Gm6619 (-65547), Ybx3 (-32415)
chr6_134604589_134605201	Lrp6 (-37982), Mansc1 (+27593)
chr6_134669468_134670314	Borcs5 (+30381), Dusp16 (+122734)
chr6_135374983_135376677	Emp1 (+13285), Grin2b (+797295)
chr6_135406530_135406679	Emp1 (+44060), Grin2b (+766520)
chr6_143837526_143837920	Sox5 (+371757), Etnk1 (+670493)
chr6_147177734_147178356	Pthlh (+86122), Klhl42 (+86666)
chr6_148170028_148170251	Ergic2 (+42234), Far2 (+122881)
chr6_148944839_148945663	Fam60a (-1716)
chr7_6163813_6165248	Zfp787 (-8560), Zfp444 (-7951)
chr7_6706261_6706761	Zim1 (-10061), Peg3 (+23910)
chr7_7082102_7082277	Zfp954 (+39298), Aurkc (+86807)
chr7_16400262_16400863	Zc3h4 (-644)
chr7_19355987_19356721	Ppp1r13l (-4862), Cd3eap (+3127)
chr7_24800073_24800256	Gm9844 (-62048), Ceacam10 (+22959)
chr7_28069537_28070173	Fcgbp (-1381)
chr7_28803949_28804679	Hnrnpl (-4227)
chr7_29480825_29481695	Sipa1l3 (+24200), Dpf1 (+177284)
chr7_38183050_38184271	1600014C10Rik (+444)
chr7_38184529_38185013	1600014C10Rik (+1554), Plekhf1 (+43245)
chr7_38191311_38192442	1600014C10Rik (+8660), Plekhf1 (+36139)
chr7_38193477_38195519	1600014C10Rik (+11281), Plekhf1 (+33518)
chr7_38197297_38198262	1600014C10Rik (+14563), Plekhf1 (+30236)
chr7_38387824_38388069	Pop4 (-116524), Gm5591 (+140246)
chr7_39190376_39190925	Gm5591 (-662458), Gm5114 (+222509)
chr7_41189610_41189811	Gm5592 (-94616), Gm4884 (+156992)
chr7_46554461_46554878	Sergef (+85137), Kcnc1 (+157022)
chr7_56288802_56289640	Oca2 (+49461)
chr7_63111855_63112241	A26c2 (-288375), Chrna7 (+100465)
chr7_66028787_66029141	Snrpa1 (-31374), Pcsk6 (+166935)
chr7_67477468_67478264	Mef2a (-105008), Lrrc28 (+167365)
chr7_67478458_67478625	Mef2a (-105684), Lrrc28 (+166689)
chr7_70706298_70707288	Nr2f2 (-346200), Gm10295 (+644692)
chr7_71746202_71746441	Gm10295 (-394837), Mctp2 (+560286)
chr7_72150811_72151348	Gm10295 (-799595), Mctp2 (+155528)
chr7_75278872_75279114	Slco3a1 (-724379), Sv2b (+30269)
chr7_75435404_75436403	Sv2b (-126642), Akap13 (-19630)
chr7_82863235_82863567	Mex3b (-3932)
chr7_82869018_82869904	Tmc3 (-715470), Mex3b (+2128)
chr7_87395314_87395951	Tyr (+97879), Nox4 (+148984)
chr7_90412606_90412767	Ccdc89 (-13890), Sytl2 (+63988)
chr7_92953533_92954670	Fam181b (-125763), Prcp (+78850)
chr7_96672385_96672881	Nars2 (-278872), Tenm4 (+460962)
chr7_97208741_97209406	Usp35 (+122946), Gab2 (+127488)
chr7_99431812_99432597	Klhl35 (-33799), Gdpd5 (+50791)
chr7_99534063_99534627	Arrb1 (-1121)
chr7_99534793_99535006	Arrb1 (-566)
chr7_100372146_100372354	C2cd3 (+17), Ppme1 (+57)
chr7_100677008_100678596	Fam168a (-28900), Plekhb1 (-15388)
chr7_100720521_100721135	Fam168a (+14126), Relt (+142618)
chr7_108967945_108968430	Tub (-42637), Eif3f (+33771)
chr7_109583879_109584512	St5 (+32557), Rpl27a (+65049)
chr7_110114603_110115162	Wee1 (-7163), Zfp143 (+53666)
chr7_111254084_111254308	Eif4g2 (-171166), Galnt18 (+525781)
chr7_116032327_116033153	Sox6 (-37654), Gm4353 (+51895)
chr7_118404782_118405548	Smg1 (-161528), Syt17 (+38395)
chr7_125983743_125984389	Gsg1l (+98345), D430042O09Rik (+276151)
chr7_126781249_126781424	Tbx6 (-146)
chr7_130256612_130257834	Fgfr2 (+8968), Wdr11 (+665360)
chr7_130381334_130382363	Fgfr2 (-115658), Ate1 (+137731)
chr7_131627540_131628128	Gpr26 (-338626), Bub3 (+67612)
chr7_136790906_136791902	Mgmt (-103210)
chr7_140901650_140902605	Cox8b (-1682)
chr8_6495632_6495789	NONE
chr8_8109242_8110496	Efnb2 (+551373)
chr8_8110668_8110897	Efnb2 (+550459)
chr8_10924482_10925120	Irs2 (+83657), Myo16 (+770833)
chr8_21856616_21856807	Defb10 (-2189)
chr8_22454239_22454725	Slc20a2 (-22306), Mrps31 (+43121)
chr8_26117824_26118019	Gm45692 (-1612), Rnf170 (-1446), Hook3 (+1302)
chr8_26118257_26118822	Gm45692 (-994), Rnf170 (-828), Hook3 (+684)
chr8_26238733_26239507	Zfp703 (-738234), Thap1 (+80979)
chr8_26833333_26834364	Zfp703 (-143505), Thap1 (+675708)
chr8_26881216_26881761	Zfp703 (-95865), Thap1 (+723348)
chr8_26984026_26984945	Erlin2 (-39313), Zfp703 (+7132)
chr8_27309902_27310130	Tex24 (-34378), Eif4ebp1 (+49687)
chr8_33933045_33934006	Rbpms (-3721)
chr8_45621294_45622794	Pdlim3 (-263417), Sorbs2 (+114126)
chr8_58313414_58314037	Galnt7 (-660695), BC030500 (-598029)
chr8_61063401_61064452	Sh3rf1 (-159945), Nek1 (+70662)
chr8_61221042_61222116	Sh3rf1 (-2293)
chr8_61623783_61624349	Cbr4 (+136332), Palld (+278603)
chr8_75080491_75080722	Hmox1 (-13014), Tom1 (+46870)
chr8_76922501_76922649	Nr3c2 (+22803), Arhgap10 (+595378)
chr8_84199937_84200547	Nanos3 (-23690), Zswim4 (+36813)
chr8_84660555_84662042	Ier2 (+1553), Cacna1a (+245935)
chr8_91561217_91562042	Irx3 (+240285), Fto (+248105)
chr8_92252889_92253617	Irx3 (-451338), Irx5 (-104496)
chr8_93933077_93933272	Amfr (+79667), Gnao1 (+121862)
chr8_94543691_94544269	Rspry1 (-57957), Cpne2 (+10990)
chr8_95137226_95138279	Kifc3 (+4794), Katnb1 (+56567)
chr8_106720555_106721334	Has3 (-149297), Tango6 (+37877)
chr8_108804622_108805125	Pmfbp1 (-689153), Zfhx3 (+862230)
chr8_114153558_114154171	Vat1l (-51765), Nudt7 (+20247)
chr8_114217098_114217812	Clec3a (-200631), Vat1l (+11825)
chr8_116226958_116227669	Maf (-519520), Dynlrb2 (-277701)
chr8_120335551_120336220	Fam92b (-158420), Gse1 (-152561)
chr8_120449635_120450542	Fam92b (-272623), Gse1 (-38358)
chr8_120549898_120550308	Gins2 (+39201), Gse1 (+61656)
chr8_124189523_124189784	Galnt2 (-41737), Urb2 (+166260)
chr8_124827575_124827840	Gnpat (-35325), Trim67 (+34616)
chr8_124946584_124947555	Egln1 (+2254), Sprtn (+49184)
chr8_125434556_125435176	Sipa1l2 (+134942), Disc1 (+380671)
chr8_126173878_126174458	Slc35f3 (-124390), Kcnk1 (+178998)
chr8_127958253_127958967	Nrp1 (-400674), Pard3 (+894554)
chr9_4260380_4260526	Aasdhppt (+49014), Gucy1a2 (+727675)
